publish_date,title,speaker_guess,text_source,henry_index,henry_hawkish_count,henry_dovish_count,henry_total_words,henry_hawkish_hits,henry_dovish_hits
1995-08-28,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a luncheon of the Northern Transvaal Chamber of Industries",Chris Stals,html,1.4227,166,28,3548,"{""more"": 20, ""growth"": 48, ""expand"": 2, ""increasing"": 2, ""growing"": 6, ""improvement"": 6, ""increase"": 12, ""increased"": 2, ""improved"": 4, ""rise"": 8, ""rose"": 8, ""increases"": 4, ""higher"": 10, ""rising"": 2, ""good"": 4, ""expansion"": 4, ""greater"": 6, ""high"": 6, ""delivered"": 2, ""better"": 6, ""succeed"": 2, ""success"": 2}","{""least"": 2, ""less"": 10, ""decline"": 4, ""deteriorated"": 2, ""unsettled"": 2, ""low"": 4, ""weaknesses"": 2, ""difficult"": 2}"
1995-09-11,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the ""South African Investment Summit"" Conference of the International Herald Tribune, Johannesburg.",Chris Stals,html,1.2079,162,40,4973,"{""success"": 4, ""good"": 8, ""growth"": 10, ""best"": 4, ""achievement"": 2, ""record"": 4, ""increase"": 24, ""rising"": 8, ""rose"": 6, ""achieve"": 8, ""better"": 2, ""high"": 6, ""more"": 30, ""up"": 18, ""increasing"": 2, ""higher"": 6, ""rewarding"": 2, ""greater"": 4, ""increased"": 4, ""most"": 4, ""encouraged"": 2, ""exceeds"": 2, ""improvements"": 2}","{""low"": 6, ""declined"": 6, ""below"": 10, ""smaller"": 2, ""risks"": 2, ""risk"": 2, ""down"": 4, ""less"": 2, ""lower"": 2, ""under"": 2, ""least"": 2}"
1995-09-13,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a meeting of the East London Branch of The South African Institute of International Affairs, East London",Chris Stals,html,0.7547,146,66,4976,"{""increased"": 4, ""more"": 20, ""greater"": 2, ""improving"": 2, ""rising"": 4, ""record"": 2, ""succeeded"": 2, ""expansion"": 2, ""opportunity"": 2, ""growth"": 18, ""good"": 6, ""higher"": 6, ""best"": 4, ""most"": 4, ""improve"": 2, ""opportunities"": 10, ""better"": 12, ""expanded"": 2, ""increasing"": 2, ""high"": 6, ""up"": 4, ""exceeded"": 2, ""successes"": 2, ""expanding"": 2, ""leading"": 2, ""improvement"": 4, ""increase"": 2, ""achieve"": 6, ""rise"": 4, ""increases"": 6}","{""lower"": 16, ""less"": 10, ""below"": 10, ""low"": 16, ""down"": 4, ""challenges"": 4, ""challenge"": 2, ""least"": 2, ""under"": 2}"
1995-09-14,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the Annual Business Achievement Award Banquet of Business Day, Johannesburg",Chris Stals,html,1.1314,137,38,4275,"{""achievement"": 1, ""successes"": 2, ""increased"": 8, ""better"": 2, ""more"": 12, ""most"": 10, ""rose"": 2, ""improvement"": 4, ""positive"": 6, ""improve"": 8, ""growing"": 6, ""improvements"": 2, ""progress"": 6, ""strengthen"": 2, ""encouraging"": 2, ""increases"": 2, ""stronger"": 2, ""growth"": 14, ""good"": 14, ""high"": 6, ""expanding"": 2, ""increasing"": 2, ""increase"": 4, ""risen"": 2, ""rising"": 2, ""expansion"": 2, ""strengthening"": 2, ""certain"": 2, ""higher"": 4, ""greater"": 2, ""achieve"": 2}","{""least"": 2, ""under"": 2, ""weak"": 2, ""difficult"": 4, ""less"": 4, ""declining"": 4, ""low"": 4, ""risk"": 4, ""threat"": 2, ""decline"": 6, ""below"": 2, ""challenges"": 2}"
1995-10-06,"Address by Dr Chris Stals, Governor of the South African Reserve Bank at a South African Investment Conference arranged by Donaldson, Lufkin & Jenrette in conjunction with Frankel Pollak/Auerbach Grayson, New York.",Chris Stals,html,1.3496,206,40,6340,"{""growth"": 24, ""expand"": 2, ""expansion"": 14, ""more"": 42, ""increased"": 14, ""increase"": 28, ""growing"": 4, ""encouraging"": 2, ""expanding"": 2, ""up"": 10, ""risen"": 2, ""exceeding"": 2, ""improvement"": 4, ""succeeded"": 4, ""higher"": 4, ""good"": 6, ""achieve"": 2, ""rising"": 6, ""rose"": 10, ""high"": 6, ""increases"": 6, ""increasing"": 4, ""certain"": 4, ""successful"": 2, ""most"": 2}","{""less"": 8, ""decline"": 2, ""declined"": 6, ""declining"": 2, ""lower"": 4, ""low"": 4, ""down"": 4, ""below"": 2, ""difficult"": 4, ""risk"": 2, ""under"": 2}"
1995-10-12,"Address by Dr Chris Stals, Governor of the South African Reserve Bank at a luncheon of the United States-South Africa Business Council, New York",Chris Stals,html,1.0952,130,38,4311,"{""success"": 2, ""more"": 22, ""progress"": 4, ""high"": 14, ""growth"": 30, ""better"": 8, ""achieve"": 4, ""most"": 8, ""up"": 2, ""increasing"": 2, ""growing"": 4, ""deliver"": 2, ""improve"": 2, ""improvement"": 4, ""exceeded"": 2, ""rising"": 2, ""increase"": 10, ""expand"": 2, ""succeeded"": 2, ""higher"": 4}","{""depressed"": 6, ""less"": 8, ""low"": 6, ""declining"": 2, ""smaller"": 2, ""least"": 6, ""challenges"": 2, ""difficult"": 2, ""challenge"": 4}"
1995-10-17,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the second South Africa ""Economy, Investment and Trade Conference"" arranged by Cityforum Limited, London",Chris Stals,html,1.234,152,36,5589,"{""growth"": 28, ""increase"": 18, ""good"": 4, ""more"": 44, ""growing"": 2, ""positive"": 2, ""better"": 2, ""high"": 2, ""higher"": 4, ""increased"": 6, ""exceed"": 2, ""above"": 4, ""rise"": 4, ""succeeded"": 4, ""increasing"": 4, ""increases"": 4, ""rose"": 4, ""up"": 4, ""deliver"": 2, ""successful"": 2, ""progress"": 2, ""encouraging"": 2, ""opportunity"": 2}","{""low"": 6, ""less"": 6, ""fail"": 2, ""lower"": 2, ""below"": 2, ""difficult"": 2, ""risk"": 2, ""declined"": 6, ""least"": 2, ""declining"": 2, ""down"": 2, ""under"": 2}"
1995-11-01," Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a meeting of The Weekend Argus/Seeff Trust Investors Club, Cape Town",Chris Stals,html,1.0,162,54,5053,"{""exceed"": 2, ""rise"": 4, ""increase"": 16, ""increasing"": 6, ""higher"": 18, ""more"": 30, ""better"": 2, ""high"": 30, ""growth"": 12, ""growing"": 8, ""best"": 2, ""rising"": 6, ""expansion"": 2, ""grow"": 2, ""greater"": 2, ""most"": 4, ""rose"": 8, ""strong"": 2, ""up"": 2, ""increased"": 4}","{""less"": 8, ""decline"": 6, ""low"": 18, ""below"": 4, ""risks"": 2, ""declined"": 2, ""down"": 2, ""lower"": 6, ""declining"": 4, ""risk"": 2}"
1995-11-13,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Conference of the Bureau for Economic Research of the University of Stellenbosch, Bellville",Chris Stals,html,1.5172,204,28,5801,"{""more"": 30, ""rise"": 12, ""achieve"": 4, ""stronger"": 4, ""increases"": 4, ""growth"": 28, ""greater"": 2, ""achieved"": 2, ""reward"": 2, ""increase"": 22, ""higher"": 20, ""up"": 4, ""strong"": 6, ""rose"": 8, ""high"": 14, ""rising"": 12, ""most"": 6, ""increased"": 4, ""growing"": 4, ""above"": 2, ""rises"": 2, ""expansion"": 6, ""opportunity"": 2, ""increasing"": 2, ""success"": 2}","{""lower"": 4, ""uncertain"": 2, ""low"": 8, ""difficult"": 2, ""challenge"": 2, ""down"": 2, ""threat"": 2, ""less"": 2, ""below"": 2, ""challenged"": 2}"
1996-02-13,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the annual presentation to the media arranged by the South African Communication Service, Cape Town.",Chris Stals,html,1.2296,218,52,4952,"{""growth"": 18, ""highest"": 2, ""achieved"": 2, ""expanded"": 2, ""strong"": 2, ""expansion"": 8, ""above"": 6, ""rose"": 10, ""high"": 10, ""increase"": 52, ""increased"": 10, ""higher"": 2, ""up"": 10, ""encouraging"": 2, ""more"": 24, ""rise"": 16, ""improvement"": 6, ""increases"": 6, ""most"": 4, ""improved"": 2, ""exceeded"": 2, ""growing"": 2, ""good"": 4, ""achieve"": 2, ""increasing"": 6, ""rising"": 4, ""certain"": 2, ""larger"": 2}","{""decline"": 14, ""lower"": 6, ""declined"": 12, ""below"": 2, ""down"": 2, ""low"": 4, ""difficult"": 4, ""depressed"": 2, ""less"": 2, ""lowest"": 4}"
1996-02-20,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the 19th Annual Investment Conference arranged by Frankel Pollak (Pty) Limited, Johannesburg",Chris Stals,html,0.9457,190,68,7047,"{""growth"": 20, ""more"": 22, ""improvement"": 4, ""above"": 2, ""achievement"": 2, ""expansion"": 4, ""good"": 6, ""best"": 2, ""increased"": 6, ""risen"": 4, ""stronger"": 2, ""rose"": 20, ""larger"": 2, ""increase"": 32, ""most"": 8, ""rise"": 12, ""strong"": 6, ""progress"": 2, ""improved"": 2, ""up"": 2, ""higher"": 6, ""encouraging"": 4, ""high"": 8, ""rising"": 2, ""succeed"": 2, ""successful"": 2, ""highest"": 2, ""growing"": 2, ""certain"": 2}","{""challenges"": 10, ""declines"": 6, ""negative"": 2, ""declined"": 10, ""down"": 2, ""lower"": 2, ""decline"": 4, ""low"": 4, ""lowest"": 2, ""below"": 2, ""difficult"": 4, ""challenge"": 12, ""challenged"": 2, ""under"": 4, ""risk"": 2}"
1996-03-07,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a breakfast to celebrate the First Anniversary of &quot;Business Report&quot; Durban.",Chris Stals,html,0.3529,60,42,4912,"{""growth"": 6, ""best"": 2, ""good"": 2, ""successful"": 2, ""more"": 18, ""increased"": 4, ""up"": 4, ""rise"": 2, ""increase"": 6, ""above"": 2, ""rose"": 2, ""exceed"": 2, ""high"": 4, ""higher"": 2, ""strong"": 2}","{""less"": 12, ""declining"": 2, ""declined"": 2, ""risk"": 8, ""risks"": 4, ""uncertain"": 2, ""under"": 2, ""difficult"": 6, ""down"": 2, ""smaller"": 2}"
1996-04-01,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Conference on ""Expenditure Budget Reform: Essential Element for Improvement of Financial Management"" hosted by the Department of State Expenditure Pretoria",Chris Stals,html,1.197,215,54,5538,"{""improvement"": 1, ""positive"": 2, ""increased"": 18, ""more"": 26, ""encouraging"": 6, ""growth"": 26, ""expansion"": 8, ""increase"": 36, ""strong"": 6, ""rose"": 14, ""higher"": 4, ""exceeded"": 2, ""high"": 18, ""rise"": 2, ""increases"": 4, ""stronger"": 2, ""improved"": 2, ""most"": 6, ""succeeded"": 4, ""certain"": 2, ""rising"": 2, ""up"": 4, ""progress"": 4, ""opportunities"": 2, ""greater"": 2, ""better"": 2, ""good"": 2, ""achieved"": 2, ""achieve"": 2, ""encouraged"": 2, ""strengthened"": 2}","{""negative"": 6, ""declined"": 10, ""less"": 8, ""low"": 4, ""lower"": 6, ""decline"": 2, ""lowest"": 2, ""below"": 2, ""declines"": 2, ""under"": 2, ""challenge"": 4, ""difficult"": 4, ""challenges"": 2}"
1996-04-23,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the Annual General Meeting of the French Chamber of Commerce and Industries, Johannesburg",Chris Stals,html,1.1746,100,26,4604,"{""certain"": 4, ""more"": 36, ""up"": 4, ""expand"": 2, ""increased"": 4, ""rise"": 4, ""exceeding"": 2, ""strong"": 2, ""increase"": 10, ""growth"": 4, ""higher"": 4, ""greater"": 4, ""above"": 6, ""high"": 6, ""growing"": 2, ""most"": 2, ""increases"": 2, ""opportunity"": 2}","{""declined"": 6, ""less"": 6, ""low"": 4, ""difficult"": 4, ""risk"": 4, ""lower"": 2}"
1996-04-23,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Business Conference on South African/Italian Economic Relations, Johannesburg",Chris Stals,html,1.3514,62,12,2371,"{""most"": 4, ""growth"": 6, ""up"": 2, ""achieve"": 2, ""increase"": 14, ""increased"": 2, ""more"": 10, ""encouraged"": 2, ""rise"": 2, ""high"": 6, ""encouraging"": 2, ""succeeded"": 6, ""certain"": 2, ""best"": 2}","{""below"": 2, ""declined"": 2, ""decline"": 2, ""low"": 6}"
1996-04-24,"Statement issued by Dr C.L. Stals, Governor of the South African Reserve Bank",C.L. Stals,html,1.1707,130,34,4715,"{""growth"": 20, ""increase"": 26, ""rising"": 8, ""increased"": 12, ""exceeded"": 2, ""more"": 24, ""rose"": 6, ""strong"": 4, ""high"": 8, ""rise"": 6, ""up"": 6, ""expansion"": 2, ""increases"": 2, ""achieved"": 2, ""greater"": 2}","{""low"": 6, ""lowest"": 2, ""less"": 6, ""difficult"": 2, ""declined"": 6, ""under"": 2, ""decline"": 4, ""lower"": 2, ""below"": 2, ""depressed"": 2}"
1996-04-25,"Notes for address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Breakfast Meeting of the American Chamber of Commerce of South Africa, Johannesburg",Chris Stals,html,2.0,28,0,3056,"{""certain"": 2, ""opportunities"": 2, ""up"": 2, ""more"": 10, ""most"": 4, ""growth"": 2, ""achieving"": 4, ""better"": 2}",{}
1996-05-02,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the Annual General Meeting of the South Africa / Canada Chamber of Business, Johannesburg",Chris Stals,html,1.1429,132,36,4922,"{""achieve"": 8, ""higher"": 2, ""growth"": 20, ""success"": 8, ""achieved"": 2, ""more"": 32, ""increase"": 12, ""best"": 4, ""certain"": 2, ""successful"": 2, ""progress"": 2, ""up"": 6, ""above"": 2, ""succeeded"": 2, ""rise"": 4, ""rises"": 4, ""most"": 6, ""greater"": 2, ""increased"": 4, ""increases"": 4, ""high"": 2, ""expansion"": 2}","{""least"": 2, ""below"": 2, ""down"": 4, ""less"": 8, ""under"": 2, ""threat"": 2, ""challenge"": 4, ""low"": 4, ""decline"": 2, ""declined"": 2, ""weaken"": 2, ""lower"": 2}"
1996-05-07,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a luncheon of the Rotary Club of Johannesburg, Johannesburg",Chris Stals,html,0.75,66,30,4270,"{""most"": 6, ""more"": 16, ""growth"": 10, ""improve"": 2, ""up"": 4, ""progress"": 2, ""achievement"": 2, ""increase"": 2, ""exceeds"": 2, ""higher"": 6, ""increasing"": 2, ""rise"": 2, ""high"": 8, ""risen"": 2}","{""less"": 6, ""lower"": 6, ""below"": 2, ""low"": 10, ""fail"": 4, ""difficult"": 2}"
1996-05-08,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the Tenth National and Second ECSAFA Congress of Chartered Accountants, Durban",Chris Stals,html,1.1034,90,26,3974,"{""increasing"": 4, ""rise"": 8, ""strong"": 4, ""increases"": 2, ""increased"": 16, ""increase"": 14, ""highest"": 2, ""exceeded"": 2, ""most"": 4, ""more"": 12, ""up"": 8, ""achieved"": 2, ""good"": 2, ""certain"": 2, ""higher"": 2, ""improvements"": 2, ""opportunities"": 4}","{""dropped"": 10, ""difficult"": 6, ""lower"": 4, ""least"": 2, ""challenges"": 4}"
1996-05-15,"Notes for address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Breakfast Meeting of Independent Newspapers, Johannesburg",Chris Stals,html,1.2381,34,8,1128,"{""high"": 4, ""rise"": 2, ""greater"": 2, ""most"": 6, ""growth"": 6, ""more"": 2, ""up"": 4, ""increases"": 2, ""improve"": 2, ""increase"": 2, ""best"": 2}","{""decreases"": 4, ""less"": 2, ""risk"": 2}"
1996-05-27,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the 1996 Annual Conference of the Institute of Retirement Funds (Conference Theme: ""The Changing Face of Retirement Provision"") Cape Town",Chris Stals,html,1.0769,100,30,4386,"{""most"": 4, ""rose"": 6, ""increasing"": 2, ""above"": 4, ""growing"": 2, ""good"": 6, ""up"": 8, ""more"": 24, ""exceeds"": 2, ""better"": 2, ""succeeded"": 2, ""increase"": 4, ""certain"": 6, ""increased"": 2, ""growth"": 4, ""expansion"": 2, ""progress"": 2, ""opportunity"": 2, ""higher"": 4, ""greater"": 2, ""improve"": 2, ""opportunities"": 2, ""stronger"": 2, ""high"": 4}","{""negative"": 2, ""challenges"": 2, ""risks"": 2, ""low"": 4, ""below"": 2, ""risk"": 4, ""under"": 4, ""difficult"": 2, ""least"": 4, ""depressed"": 2, ""less"": 2}"
1996-06-17,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the Europe-South Africa Business and Finance Forum Cannes",Chris Stals,html,1.2432,60,14,3808,"{""certain"": 4, ""more"": 18, ""most"": 2, ""growth"": 6, ""higher"": 2, ""high"": 4, ""increase"": 2, ""progress"": 10, ""up"": 6, ""opportunities"": 2, ""greater"": 2, ""good"": 2}","{""below"": 2, ""decline"": 2, ""low"": 2, ""risk"": 2, ""under"": 4, ""weakness"": 2}"
1996-06-28,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the 75th Anniversary Banquet of the South African Reserve Bank Pretoria",Chris Stals,html,1.3725,86,16,6972,"{""more"": 24, ""most"": 8, ""increased"": 2, ""higher"": 2, ""strong"": 2, ""up"": 4, ""exceeding"": 4, ""greater"": 2, ""leader"": 2, ""best"": 4, ""growing"": 2, ""rising"": 2, ""better"": 4, ""good"": 2, ""growth"": 6, ""above"": 4, ""increasing"": 2, ""record"": 2, ""progress"": 2, ""successful"": 2, ""succeed"": 2, ""success"": 2}","{""threat"": 2, ""difficult"": 2, ""deteriorating"": 2, ""challenges"": 2, ""challenging"": 2, ""declined"": 2, ""below"": 2, ""deteriorated"": 2}"
1996-07-11,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Conference on ""South Africa in the Global Economy"" arranged by The South African Institute of International Affairs Johannesburg",Chris Stals,html,1.3869,232,42,6902,"{""improved"": 4, ""strong"": 6, ""increases"": 16, ""opportunity"": 2, ""growth"": 36, ""rose"": 16, ""higher"": 12, ""increasing"": 6, ""better"": 2, ""exceeded"": 6, ""more"": 24, ""growing"": 8, ""good"": 8, ""increase"": 20, ""expansion"": 4, ""increased"": 14, ""up"": 10, ""encouraging"": 2, ""high"": 2, ""rise"": 2, ""most"": 4, ""risen"": 8, ""accomplish"": 2, ""achieved"": 2, ""success"": 2, ""rising"": 4, ""succeeded"": 2, ""achievement"": 2, ""above"": 2, ""positive"": 2, ""opportunities"": 2}","{""declines"": 2, ""decline"": 6, ""challenge"": 4, ""low"": 8, ""less"": 2, ""smaller"": 2, ""declined"": 6, ""under"": 2, ""below"": 6, ""threats"": 2, ""lower"": 2}"
1996-08-27,Governor's Address (76th) - 1996-08-27,,html,1.0251,422,136,13965,"{""expansion"": 28, ""most"": 12, ""high"": 26, ""growth"": 44, ""more"": 80, ""increase"": 36, ""greater"": 18, ""growing"": 16, ""achieve"": 4, ""expanded"": 2, ""increased"": 24, ""increasing"": 10, ""higher"": 14, ""rose"": 10, ""strong"": 4, ""improvement"": 2, ""better"": 2, ""opportunities"": 2, ""encouraging"": 4, ""progress"": 8, ""certain"": 6, ""up"": 20, ""achieved"": 2, ""succeeded"": 8, ""increases"": 6, ""best"": 2, ""rise"": 8, ""above"": 2, ""rising"": 2, ""risen"": 2, ""good"": 4, ""improve"": 2, ""successful"": 4, ""improvements"": 2, ""achieving"": 2, ""leading"": 2, ""encouraged"": 2}","{""weaknesses"": 2, ""decline"": 18, ""smaller"": 6, ""down"": 18, ""declining"": 2, ""less"": 10, ""lower"": 10, ""low"": 14, ""weakness"": 2, ""weakening"": 2, ""negative"": 2, ""declined"": 12, ""risk"": 8, ""fall"": 2, ""fallen"": 2, ""under"": 10, ""difficult"": 2, ""least"": 2, ""below"": 2, ""uncertain"": 2, ""depressed"": 2, ""fail"": 2, ""weak"": 2, ""challenge"": 2}"
