id,meeting_date,llm_score,llm_label,llm_on_topic,llm_quote
2005-12-08_4299,2005-12-08,0.2,leaning hawkish,True,"the Monetary Policy Committee has decided to leave the repo rate unchanged at 7 per cent per annum. The MPC will, as is usually the case, remain vigilant in order to ensure that CPIX inflation stays within the inflation target range. Should the outlook deteriorate, the MPC will not hesitate to adjust the repo rate in the appropriate direction."
2006-02-02_4296,2006-02-02,0.3,leaning hawkish,True,The robust domestic demand is an important factor which could negatively affect the inflation outcome...The MPC will continue to exercise vigilance in order to ensure that CPIX inflation stays within the inflation target range
2006-04-13_4295,2006-04-13,0.3,leaning hawkish,True,"The MPC perceives the risks to inflation to be on the upside. In particular, the MPC is mindful of the threats posed by strong credit extension, consumer demand, the widening current account deficit and rising international oil prices."
2006-06-08_4294,2006-06-08,1.3,strongly hawkish,True,the risks to the previously benign inflation outlook in South Africa have increased over the past few weeks... the latest forecast shows a marked deterioration in the inflation outlook... the MPC has decided that a moderate adjustment in the repo rate is warranted at present. Accordingly the repo rate is increased by 50 basis points
2006-08-03_4293,2006-08-03,1.7,strongly hawkish,True,"The MPC remains concerned about the longer term threats to the inflation outlook and has therefore decided that a further adjustment to the repo rate would be prudent. Accordingly, the repo rate is increased by 50 basis points"
2006-10-12_4292,2006-10-12,1.8,strongly hawkish,True,the MPC remains concerned about the outlook for inflation and is of the view that the risks to the outlook are still on the upside. Accordingly the MPC has decided that a further upward adjustment in the repo rate is appropriate at this juncture. The repo rate is therefore increased by 50 basis points
2006-12-07_6600,2006-12-07,1.3,strongly hawkish,True,"The Monetary Policy Committee has decided to adjust the existing monetary policy stance by increasing the repo rate by 50 basis points to 9,0 per cent per annum"
2007-02-15_4290,2007-02-15,0.3,leaning hawkish,True,risks to the inflation outlook remain and the MPC will continue to closely monitor developments with a view to adjusting the monetary policy stance as and when required
2007-04-12_4289,2007-04-12,0.7,leaning hawkish,True,"despite the slight deterioration in the inflation outlook, an unchanged monetary policy stance continues to be appropriate for now"
2007-06-07_4288,2007-06-07,1.8,strongly hawkish,True,"in view of the further deterioration in the inflation outlook, the monetary policy stance needs to be adjusted to ensure that CPIX inflation returns to within the inflation target range over time. Accordingly, the repo rate will be increased by 50 basis points"
2007-08-16_4287,2007-08-16,1.7,strongly hawkish,True,"a further adjustment in the monetary policy stance is required in order to ensure that CPIX inflation returns to within the target range. Accordingly, the repo rate is adjusted by 50 basis points"
2007-10-11_4286,2007-10-11,1.7,strongly hawkish,True,The MPC is determined to ensure that inflation returns to within the target range
2007-12-06_4285,2007-12-06,1.8,strongly hawkish,True,"the balance of risks to the inflation outlook continues to be on the upside. Therefore the MPC has decided to adjust the repurchase rate by 50 basis points to 11,0 per cent per annum"
2008-01-31_4043,2008-01-31,0.3,leaning hawkish,True,"There are still considerable risks to the inflation outlook. In the light, inter alia, of heightened economic uncertainties, both domestically and globally, and some evidence of moderation in domestic consumption expenditure, the Monetary Policy Committee has decided that it is appropriate at this time to leave the repo rate unchanged at 11 per cent per annum."
2008-04-10_3268,2008-04-10,1.8,strongly hawkish,True,"In view of the deteriorating inflation outlook and especially evidence of more generalised inflation pressures, the MPC has decided to increase the repo rate by 50 basis points to 11,5 per cent per annum"
2008-06-12_3300,2008-06-12,1.7,strongly hawkish,True,further tightening of monetary policy is warranted. Accordingly the repurchase rate will be increased by 50 basis points
2008-08-14_3323,2008-08-14,0.7,leaning hawkish,True,the current monetary policy stance is appropriate. Consequently the repurchase rate will for now remain unchanged at 12 per cent per annum
2008-10-09_3348,2008-10-09,0.3,leaning hawkish,True,The MPC is of the view that an unchanged monetary policy stance is appropriate at this stage. Accordingly the repurchase rate remains at 12 per cent per annum.
2008-12-11_3374,2008-12-11,-1.5,strongly dovish,True,"The MPC has therefore decided to reduce the repurchase rate by 50 basis points to 11,5 per cent per annum with effect from 12 December 2008"
2009-02-05_3389,2009-02-05,-1.8,strongly dovish,True,"The Monetary Policy Committee has decided to reduce the repurchase rate by 100 basis points to 10,5 per cent per annum"
2009-03-24_3406,2009-03-24,-1.8,strongly dovish,True,"Against the background of a slowing global and domestic economy and an improved medium-term outlook for inflation, the Monetary Policy Committee has decided to reduce the repurchase rate by 100 basis points"
2009-04-30_3416,2009-04-30,-1.8,strongly dovish,True,the adverse economic conditions continue to tilt the balance of risks to the inflation outlook to the downside over the medium term and has therefore decided to reduce the repurchase rate by 100 basis points
2009-05-28_3436,2009-05-28,-1.8,strongly dovish,True,the output gap has widened further. This is expected to contribute to an improved inflation outlook...the MPC has decided to reduce the repurchase rate by 100 basis points
2009-06-25_3448,2009-06-25,-0.7,leaning dovish,True,The domestic economy continues to show signs of stress in the wake of the global economic downturn. Output growth remains negative while trends in household consumption expenditure have continued to deteriorate.
2009-08-13_3494,2009-08-13,-1.6,strongly dovish,True,the adverse economic conditions appear to tilt the balance of risks to the inflation outlook towards the downside over the medium term. The MPC has therefore decided to reduce the repurchase rate by 50 basis points
2009-09-22_4045,2009-09-22,-0.3,leaning dovish,True,"Domestic economic growth, which has been negative in each of the past three quarters, is expected to improve in the coming quarters. However the domestic recovery is likely to be influenced by global growth developments and is subject to a relatively high degree of uncertainty."
2009-10-22_3507,2009-10-22,-0.3,leaning dovish,True,"Domestic demand conditions continue to be subdued and currently do not pose a significant threat to the inflation outlook. Economic growth is expected to improve in the coming months, but is likely to remain below potential for some time."
2009-11-17_4046,2009-11-17,-0.7,leaning dovish,True,"economic growth is expected to remain below potential for some time; and dependent to some extent on the pace of the global recovery, which still appears to be fragile and uneven across regions"
2010-01-26_3561,2010-01-26,0.0,neutral,True,"the MPC has decided to keep the repurchase rate unchanged at 7,0 per cent per annum"
2010-03-25_3562,2010-03-25,-1.2,strongly dovish,True,The improved inflation environment has provided some space for an additional monetary stimulus to reinforce the sustainability of the upswing without jeopardising the achievement of the inflation target. The MPC has therefore decided to reduce the repurchase rate by 50 basis points
2010-05-13_3563,2010-05-13,0.0,neutral,True,"the MPC deems it appropriate to maintain the current stance of monetary policy. Accordingly the repurchase rate remains unchanged at 6,5 per cent per annum"
2010-07-22_3564,2010-07-22,0.1,neutral,True,"The Monetary Policy Committee assesses the risks to the inflation outlook as being evenly balanced and views the current monetary policy stance as appropriate. Therefore, the MPC decided to keep the repurchase rate unchanged at 6,5 per cent per annum."
2010-09-09_3565,2010-09-09,-1.2,strongly dovish,True,the improved inflation outlook creates sufficient room for monetary policy to provide additional stimulus to the somewhat fragile recovery of the domestic economy
2010-11-18_3566,2010-11-18,-1.2,strongly dovish,True,"The MPC has accordingly decided to reduce the repurchase rate by 50 basis points to 5,5 per cent per annum with effect from 19 November 2010. The view of the MPC is that there is room for further stimulus, given the weakness in the supply side of the economy."
2011-01-20_16,2011-01-20,0.2,leaning hawkish,True,"While there are increasing risks to the inflation outlook, these emanate primarily from external cost-push factors, and inflation is expected to remain within the target range until the end of the forecast period. The MPC has therefore decided to keep the repurchase rate unchanged at 5,5 per cent per annum."
2011-03-24_3978,2011-03-24,0.3,leaning hawkish,True,"The MPC is of the view that the risks to the inflation outlook are on the upside. However, these risks and underlying pressures are mainly of a cost push nature. In light of the above, the MPC has decided to keep the repurchase rate unchanged at 5,5 per cent per annum for the time being."
2011-05-12_4082,2011-05-12,0.7,leaning hawkish,True,"Given the upside risks to the inflation outlook, the MPC will monitor closely any indications of second round effects on inflation emanating from these cost pressures. The MPC will not hesitate to respond timeously to signs that threaten to move inflation out of the target range on a sustained basis."
2011-07-21_4706,2011-07-21,0.3,leaning hawkish,True,the MPC is not complacent and will remain vigilant and continue to monitor closely any indications of second round effects on inflation emanating from these cost pressures
2011-09-22_4842,2011-09-22,-0.5,leaning dovish,True,The MPC is however concerned at the potential impact of the current global turmoil on domestic economic prospects and stands ready to act appropriately should the need arise
2011-11-10_4881,2011-11-10,0.3,leaning hawkish,True,"The Committee is concerned that the change in the profile of the inflation forecasts, and the extended breach of the upper end of the inflation target range, may impact adversely on inflation expectations"
2012-01-19_4930,2012-01-19,-0.3,leaning dovish,True,"given the lack of demand pressures, monetary tightening at this stage would not be appropriate"
2012-03-29_5005,2012-03-29,-0.3,leaning dovish,True,"Domestic economic growth is expected to remain below potential. In light of this and the expected medium-term inflation trajectory, the Committee is of the view that at this stage the current stance of monetary policy is appropriate to support the real economy"
2012-05-24_5040,2012-05-24,-0.8,strongly dovish,True,"it is appropriate to maintain the current accommodative monetary policy stance, given the continued absence of clear signs of excess demand pressures"
2012-07-19_5092,2012-07-19,-1.8,strongly dovish,True,the MPC views the prevailing conditions to be appropriate for further monetary accommodation to the economy that will not undermine the inflation outlook. The MPC has therefore decided to reduce the repurchase rate by 50 basis points
2012-09-20_5141,2012-09-20,-0.7,leaning dovish,True,"Although global and domestic growth conditions remain challenging, the MPC is of the view that a further reduction in the repurchase rate is not appropriate at this stage. The MPC has therefore decided to keep the repurchase rate unchanged at 5,0 per cent per annum. This accommodative stance is assessed to be consistent with the Bank's price stability mandate, and conducive to encouraging growth and domestic investment."
2012-11-22_5301,2012-11-22,-0.8,strongly dovish,True,the current accommodative stance remains appropriate and has therefore decided to keep the repurchase rate unchanged
2013-01-24_5478,2013-01-24,0.3,leaning hawkish,True,"The MPC continues to assess the balance of risks to the inflation outlook to be on the upside. While the risks to the forecast emanating from food prices may have diminished somewhat, particularly over the medium term, the exchange rate and wage settlements remain the key upside risk factors... However, further accommodation at this stage is constrained by the upside risks to the inflation outlook."
2013-03-20_5629,2013-03-20,0.2,leaning hawkish,True,"The MPC continues to assess the balance of risks to the inflation outlook to be on the upside, mainly due to the exchange rate and wage pressures. At the same time, further accommodation remains constrained by the upside risks to the inflation outlook."
2013-05-23_5726,2013-05-23,0.3,leaning hawkish,True,"the MPC assesses the current stance of monetary policy to be accommodative. Given the risks outlined above, the scope for further monetary easing is limited at this stage"
2013-07-18_5825,2013-07-18,0.2,leaning hawkish,True,We are concerned about the revised higher trajectory of core inflation and macroeconomic vulnerabilities that are increasingly evident
2013-09-19_5910,2013-09-19,0.3,leaning hawkish,True,The MPC remains mindful of the conflicting policy choices that it faces... the longer term trajectory is uncomfortably close to the upper end of the target range... Should the risks to the medium-term inflation outlook deteriorate significantly the MPC will not hesitate to take appropriate action
2013-11-21_5990,2013-11-21,0.3,leaning hawkish,True,"the Monetary Policy Committee continues to assess the risks to the inflation outlook to be on the upside, mainly as a result of further potential exchange rate pressures... we do not see room for further monetary accommodation"
2014-01-29_6075,2014-01-29,0.8,strongly hawkish,True,"the MPC has decided to increase the repurchase rate by 50 basis points to 5,5 per cent per annum as of 30 January 2014"
2014-03-27_6166,2014-03-27,0.3,leaning hawkish,True,the MPC will continue to focus on the medium term inflation trajectory. The committee is aware that too slow a pace of tightening could undermine inflation expectations and may require more aggressive tightening in the future
2014-05-22_6238,2014-05-22,0.3,leaning hawkish,True,"The committee continues to hold the view that we are in a rising interest rate cycle, and interest rates will have to be normalised in due course. We embarked on this process with our first move in January 2014."
2014-07-17_6337,2014-07-17,0.6,leaning hawkish,True,"The MPC has decided to continue on its gradual normalisation path and raise the repurchase rate by 25 basis points to 5,75 per cent per annum"
2014-09-18_6421,2014-09-18,0.3,leaning hawkish,True,"the MPC is concerned that the forecast remains uncomfortably close the upper end of the target band. Given the upside risks to the forecast, the proximity to the upper end of the band makes the inflation outcomes highly vulnerable to changes in inflationary pressures."
2014-11-20_6501,2014-11-20,-0.5,leaning dovish,True,"given the lower trajectory of headline inflation and the continued weak state of the economy, the MPC has unanimously decided to keep the repurchase rate unchanged at 5,75 per cent per annum at this stage"
2015-01-29_6591,2015-01-29,0.2,leaning hawkish,True,The MPC is aware that the moderation in inflation could raise expectations of lower interest rates. The MPC is of the view that the bar for further accommodation remains high and would require a sustained decline in the inflation rate and inflation expectations.
2015-03-26_6662,2015-03-26,0.3,leaning hawkish,True,"The Committee assesses the risk to the inflation outlook to be on the upside, with the possibility of further electricity tariff increases accentuating this risk."
2015-05-21_6729,2015-05-21,0.6,leaning hawkish,True,the persistence of medium term inflation at elevated levels and the deteriorating risks to the outlook are an increasing concern to the MPC... the deteriorating inflation outlook suggests that this unchanged stance cannot be maintained indefinitely
2015-07-23_6817,2015-07-23,1.3,strongly hawkish,True,"The MPC has indicated for some time that it is in a hiking cycle in response to rising inflation risks, and a normalisation of the policy rate over time... the committee is concerned that failure to act against these heightened pressures and risks will cause inflation expectations to become entrenched at higher levels. The MPC has therefore decided to continue on its path of gradual policy normalisation. Accordingly, the repurchase rate will increase by 25 basis points to 6,0 per cent per annum"
2015-09-23_6898,2015-09-23,0.3,leaning hawkish,True,"the MPC is concerned that the longer-term inflation trajectory remains uncomfortably close to the upper end of the target range, and given the upside risks to inflation, the probability of a more extended breach than currently forecast is relatively high"
2015-11-19_6971,2015-11-19,0.7,leaning hawkish,True,the concern of the Committee is that failure to act could cause inflation expectations to become unanchored and generate second-round effects and more generalised inflation
2016-01-28_7063,2016-01-28,1.5,strongly hawkish,True,"Given the deterioration in the inflation outlook, the MPC decided to increase the repurchase rate by 50 basis points to 6,75 per cent per annum"
2016-03-17_7223,2016-03-17,1.2,strongly hawkish,True,"Given the upside risks to the inflation forecast and the protracted period of the expected breach, the MPC decided that further tightening was required to complement the previous moves. Accordingly, the MPC decided to increase the repurchase rate by 25 basis points to 7,00 per cent per annum"
2016-05-19_7300,2016-05-19,0.3,leaning hawkish,True,The Committee remains concerned about the inflation outlook and the extended breach of the target... the risks are still assessed to be on the upside
2016-07-21_7396,2016-07-21,-0.7,leaning dovish,True,the assessment of the balance of risks to the inflation outlook and the weak domestic economy has provided some room to delay further tightening of the monetary policy stance for now
2016-09-22_7489,2016-09-22,0.3,leaning hawkish,True,"The MPC remains concerned about the overall inflation trajectory which remains in the upper end of the inflation target range. The MPC is of the view that should current forecasts transpire, we may be close to the end of the tightening cycle. The bar for monetary accommodation, by contrast, remains high."
2016-11-24_7568,2016-11-24,0.3,leaning hawkish,True,"The MPC remains concerned that the inflation trajectory is uncomfortably close to the upper end of the target range. Furthermore, the uncertain environment and moderately higher risks to the inflation outlook require continued vigilance."
2017-01-24_7644,2017-01-24,0.3,leaning hawkish,True,the MPC remains concerned that the longer-term inflation trajectory continues to be uncomfortably close to the upper end of the target range
2017-03-30_7741,2017-03-30,0.3,leaning hawkish,True,the MPC is of the view that we may have reached the end of the tightening cycle. However the Committee would like to see a more sustained improvement in the inflation outlook before reducing rates
2017-05-25_7812,2017-05-25,-0.3,leaning dovish,True,the MPC remains of the view that the current level of the repo rate is appropriate for now and that we are likely at the end of the tightening cycle. A reduction in rates would be possible should inflation continue to surprise on the downside
2017-07-20_7899,2017-07-20,-0.7,leaning dovish,True,"Given the improved inflation outlook and the deteriorated growth outlook, the MPC has decided to reduce the repurchase rate by 25 basis points"
2017-09-21_7995,2017-09-21,0.0,neutral,True,"the MPC has decided to keep the repurchase rate unchanged at 6.75% per annum... maintain the current monetary policy stance at this stage, and reassess the data and the balance of risks at the next meeting"
2017-11-23_8095,2017-11-23,0.3,leaning hawkish,True,"upside risks to the inflation outlook have increased, mainly due to higher international oil prices and a weaker rand exchange rate"
2018-01-18_8213,2018-01-18,0.3,leaning hawkish,True,the MPC has decided that it would be appropriate to maintain the current monetary policy stance at this stage
2018-03-28_8367,2018-03-28,-1.2,strongly dovish,True,the MPC has decided to reduce the repurchase rate by 25 basis points to 6.5% with effect from 29 March 2018
2018-05-24_8466,2018-05-24,0.3,leaning hawkish,True,"In light of the change in the balance of risks to the inflation outlook, the MPC unanimously decided to keep the repurchase rate unchanged at 6.5% per annum. At these levels, the MPC still assesses the stance of monetary policy to be accommodative and appropriate given the forecast inflation trajectory and the current state of the economy. However, with risks and uncertainties at high levels, the MPC will maintain its vigilance to ensure that inflation remains well within the inflation target range, and will adjust the policy stance should the need arise."
2018-07-19_8671,2018-07-19,0.6,leaning hawkish,True,the MPC has noted the deteriorating inflation outlook
2018-09-20_8779,2018-09-20,0.6,leaning hawkish,True,"The MPC remains concerned about the deteriorating inflation outlook, driven mainly by multiple supply-side factors...the MPC will continue to be vigilant and will not hesitate to act should it become necessary"
2018-11-22_8945,2018-11-22,0.6,leaning hawkish,True,"the MPC has decided to increase the repurchase rate by 25 basis points to 6,75% per year... the MPC continues to assess the risks to the longer-term inflation outlook to be on the upside"
2019-01-17_9044,2019-01-17,-0.5,leaning dovish,True,The Committee continues to assess the stance of monetary policy to be broadly accommodative
2019-03-28_9165,2019-03-28,-0.5,leaning dovish,True,the MPC unanimously decided to keep the repurchase rate unchanged at 6.75% per year. The Committee continues to assess the stance of monetary policy to be accommodative.
2019-05-23_9263,2019-05-23,-0.7,leaning dovish,True,The MPC decided to keep the repurchase rate unchanged at 6.75% per year. Three members preferred to keep rates on hold and two members preferred a cut of 25 basis points. The Committee assesses the stance of monetary policy to be broadly accommodative over the forecast period.
2019-07-18_9387,2019-07-18,-1.2,strongly dovish,True,the MPC unanimously decided to reduce the repurchase rate by 25 basis points to 6.5% per annum
2019-09-19_9502,2019-09-19,-0.5,leaning dovish,True,weaker global economic conditions and low inflation
2019-11-21_9594,2019-11-21,-0.7,leaning dovish,True,The MPC decided to keep the repurchase rate unchanged at 6.5% per annum. Three members preferred to keep interest rates on hold and two members preferred a cut of 25 basis points.
2020-01-16_9691,2020-01-16,-1.2,strongly dovish,True,the lower inflation forecast and improved risk profile opens some space to provide further policy accommodation to the economy
2020-03-19_9790,2020-03-19,-1.8,strongly dovish,True,"Despite the general rise in risk, the significantly lower forecast for headline inflation has created space for monetary policy to respond to the rapid deterioration in economic conditions. The MPC decided to cut the repo rate by 100 basis points."
2020-04-14_9863,2020-04-14,-1.8,strongly dovish,True,the MPC decided to cut the repo rate by 100 basis points... The implied path of policy rates over the forecast period... indicates five repo rate cuts of 25 basis points extending into the first quarter of 2021
2020-05-21_9946,2020-05-21,-1.8,strongly dovish,True,"the MPC decided to cut the repo rate by 50 basis points, taking it to 3.75% per annum, with effect from 22 May 2020. The implied path of policy rates over the forecast period indicates two repo rate cuts of 25 basis points in the next two quarters of 2020"
2020-07-23_10114,2020-07-23,-1.3,strongly dovish,True,"Monetary policy can ease financial conditions and improve the resilience of households and firms to the economic implications of Covid-19. In addition to continued easing of interest rates, the SARB has relaxed regulatory requirements on banks and has taken important steps to ensure adequate liquidity in domestic markets."
2020-09-17_10247,2020-09-17,-0.5,leaning dovish,True,the economic contraction and slow recovery will keep inflation below the midpoint of the target range for this year
2020-11-19_10394,2020-11-19,-0.3,leaning dovish,True,Monetary policy has eased financial conditions and improved the resilience of households and firms to the economic implications of Covid-19 and continues to be accommodative.
2021-01-21_MPC-January-2021,2021-01-21,-0.3,leaning dovish,True,"Monetary policy has eased financial conditions and improved the resilience of households and firms to the economic implications of Covid-19, and continues to be accommodative."
2021-03-25_Statement-of-the-Monetary-Policy-Committee-March-2021,2021-03-25,0.3,leaning hawkish,True,The implied policy rate path of the Quarterly Projection Model (QPM) indicates an increase of 25 basis points in each of the second and fourth quarters of 2021
2021-05-20_Statement-of-the-Monetary-Policy-Committee-May-2021,2021-05-20,0.3,leaning hawkish,True,the overall risks to the inflation outlook appear to be to the upside
2021-07-22_Statement-of-the-Monetary-Policy-Committee-July-2021,2021-07-22,-0.3,leaning dovish,True,"a highly accommodative policy stance through the end of 2022, keeping financial conditions supportive of credit demand as the economy recovers from the pandemic"
2021-09-23_Statement-of-the-Monetary-Policy-Committee-July-2021,2021-09-23,0.3,leaning hawkish,True,The implied policy rate path of the Quarterly Projection Model (QPM) indicates an increase of 25 basis points in the fourth quarter of 2021 and further increases in each quarter of 2022 and 2023.
2021-11-18_Statement-of-the-Monetary-Policy-Committee-November-2021,2021-11-18,0.6,leaning hawkish,True,"inflation risks have increased and the level of policy accommodation remains high. Against this backdrop, the MPC decided to increase the repurchase rate by 25 basis points"
2022-01-27_Statement-of-the-Monetary-Policy-Committee-January-2022,2022-01-27,0.6,leaning hawkish,True,the MPC decided to increase the repurchase rate by 25 basis points to 4% per year...the Committee believes a gradual rise in the repo rate will be sufficient to keep inflation expectations well anchored
2022-03-24_Statement-of-the-Monetary-Policy-Committee-March-2022,2022-03-24,1.1,strongly hawkish,True,"the MPC decided to increase the repurchase rate by 25 basis points to 4.25% per year... The implied policy rate path of the QPM, given the inflation forecast, indicates gradual normalisation through to 2024"
