id,publish_date,llm_score,llm_label,llm_on_topic,llm_quote
1995-10-17_309,1995-10-17,1.2,strongly hawkish,True,Monetary policy must therefore remain relatively restrictive for the time being. It remains a first priority of the Reserve Bank to force the growth in the M3 money supply back into the target range of 6 to 10 per cent set for 1995.
1995-11-01_308,1995-11-01,1.5,strongly hawkish,True,The Reserve Bank will be reluctant to yield to the pressures to use its powers of creating more money to reduce interest rates artificially to an unrealistically low level. Such a policy will only bounce back on us with a vengeance in the form of higher inflation and serious balance of payments problems in future
1995-11-13_307,1995-11-13,1.6,strongly hawkish,True,"as long as the demand for credit remains excessive and bank credit extension and the money supply continue to increase at rates that threaten the financial stability of the economy, the Reserve Bank can certainly not take the initiative to reduce interest rates"
1996-02-13_305,1996-02-13,0.7,leaning hawkish,True,"Monetary policy will therefore have to remain relatively conservative to ensure financial stability, also in the longer run"
1996-02-20_304,1996-02-20,0.5,leaning hawkish,True,an excessive expansion of bank credit is putting undue pressure on the money supply and dictates the need for maintaining high interest rates
1996-03-07_303,1996-03-07,0.1,neutral,False,the level of interest rates in South Africa has an important influence on the capital flows into and out of the country. The Reserve Bank's interest rate policy must therefore take due account of the effect it will have on the balance of payments
1996-04-01_301,1996-04-01,1.1,strongly hawkish,True,"The Reserve Bank had to retain a relatively restrictive monetary policy throughout the past eighteen months. The Bank's own lending rate, the Bank rate, was raised gradually from 12 per cent in the middle of 1994 to 15 per cent in June 1995, and has remained at this relatively high level for the past nine months."
1996-04-23_299,1996-04-23,0.8,strongly hawkish,True,"the post-devaluation situation calls for even more cautious monetary and fiscal policies, and for constraint on wage increases and other upward price adjustments in the country"
1996-04-23_300,1996-04-23,1.2,strongly hawkish,True,"Against the background of an excessive rate of increase in both the money supply and domestic credit extension last year, the Bank encouraged interest rates to rise and to remain at a relatively high level"
1996-04-24_298,1996-04-24,1.2,strongly hawkish,True,there is not much scope for the Reserve Bank to relax on the monetary policy stance at this stage... a restrictive monetary policy stance at this stage
1996-04-25_297,1996-04-25,0.0,neutral,False,"establish closer co-operation among the member central banks through a regular exchange of views on the philosophies, structures, functions, objectives and strategies of central banking"
1996-05-02_296,1996-05-02,1.3,strongly hawkish,True,"It must be a firm policy commitment now at most to accommodate some part of the proximate price effects of the depreciation, but surely not to support potential second-round effects"
1996-05-07_295,1996-05-07,1.5,strongly hawkish,True,"monetary policy has already gone too far in accommodating some excess demand for funds, and the Reserve Bank is already risking the negligence of its prime responsibility, namely to protect the value of the currency"
1996-05-08_294,1996-05-08,0.2,leaning hawkish,False,to prevent this 'excessive' adjustment of the exchange rate from causing an escalation in the inflation rate
1996-05-15_293,1996-05-15,1.5,strongly hawkish,True,exchange rate adjustments can only be beneficial if it is supported by non-inflationary monetary and fiscal policies
1996-05-27_292,1996-05-27,0.2,leaning hawkish,False,long and short-term interest rates rose by between two and three percentage points in just three months
1996-06-17_291,1996-06-17,0.2,leaning hawkish,False,Developments in the foreign exchange market in South Africa over the past four months cautioned the authorities to even greater conservatism in the abolition of the exchange controls
1996-06-28_290,1996-06-28,0.1,neutral,False,"Over 75 years, the Bank has tried every possible alternative, but always came back to the conclusion that there is no escape from realistic interest rates that truly reflect underlying market conditions"
1996-07-11_289,1996-07-11,1.2,strongly hawkish,True,"tight monetary policy, and above all, productivity-linked wage increases"" and ""The Reserve Bank raised its discount rate from 15 to 16 per cent on 1996-04-29"
1996-08-27_15,1996-08-27,1.2,strongly hawkish,True,"the Reserve Bank, in the interests of medium-term financial stability and longer-term sustainable economic growth and development, must persist on its current course of responsible monetary restraint"
1996-10-02_288,1996-10-02,0.8,strongly hawkish,True,"The excessive rates of increase in the monetary aggregates may in part be due to structural changes that are taking place in the South African economy, but nevertheless call for a restrictive monetary policy at this stage."
1996-10-23_287,1996-10-23,0.0,neutral,False,"The task and the challenges for the Public Accountants and Auditors Board are no longer restricted to South Africa itself, but have now obtained a much wider responsibility in light of South Africa's expanding role in Africa."
1996-10-25_286,1996-10-25,1.5,strongly hawkish,True,"Developments in the balance of payments and particularly the depreciation of almost 20 per cent in the value of the rand since the end of last year, coupled with developments in domestic financial conditions, clearly demand a restrictive monetary policy at this stage"
1996-11-08_285,1996-11-08,1.5,strongly hawkish,True,"the monetary authorities will now have to use all the powers at their disposal to fight inflation in South Africa. In terms of the monetary policy model used by the Reserve Bank the answer to the depreciation of the rand, and the fears of continued depreciation, is a firm resolve to fight inflation, and to maintain financial stability in the domestic economy"
1996-11-21_284,1996-11-21,1.8,strongly hawkish,True,"The unstable conditions in the market for foreign exchange, recent developments in the domestic financial markets and the growing upward pressures on inflation all dictate a need for a tightening of monetary policy at this stage. The Reserve Bank has therefore decided to follow recent interest rate trends in the financial markets and to raise the Bank rate from 16 to 17 per cent"
1997-02-18_283,1997-02-18,1.5,strongly hawkish,True,"It is of the utmost importance, however, that a restrictive monetary policy shall now be retained to make sure that the rate of inflation will also gradually be tamed again... This will require the Reserve Bank to persist with a relatively restrictive monetary policy for the time being."
1997-03-17_280,1997-03-17,0.1,neutral,False,The new situation brings new challenges also for monetary policy
1997-03-31_279,1997-03-31,0.0,neutral,False,The primary object of the South African Reserve Bank is to protect the value of the currency in the interest of balanced and sustainable economic growth in the Republic.
1997-04-09_278,1997-04-09,0.8,strongly hawkish,True,"These conventional anchors of monetary policy also increased at unacceptably high rates over the past two years, partly because of structural changes, and partly because of normal pressures of demand increasing at a rate in excess of real income increases"
1997-04-25_277,1997-04-25,1.3,strongly hawkish,True,"The Reserve Bank remains concerned about the excessive rates of growth in the money supply, and remains committed to reducing this monetary stimulation of inflation during the course of 1997. Recent trends in the money supply and bank credit extension beg the question, however, whether monetary policy at this juncture is restrictive enough and whether even more stringent measures may not be required to reduce overall liquidity further, which could, of course, lead to even higher interest rates"
1997-05-01_276,1997-05-01,0.0,neutral,False,the Committee designed a model for financial co-operation that was described as a bottom-up approach
1997-05-15_275,1997-05-15,0.5,leaning hawkish,True,the main objective of monetary policy in the new South Africa must remain to protect the value of the currency
1997-05-23_274,1997-05-23,0.0,neutral,False,Dit is vir my 'n groot eer om die amp van Kanselier van die Universiteit van Pretoria by hierdie plegtigheid formeel te aanvaar.
1997-05-30_273,1997-05-30,1.2,strongly hawkish,True,Inflation turned around from 5½ per cent over the twelve months up to April 1996 to almost 10 per cent in April 1997... This forced the Reserve Bank to switch to a more restrictive monetary policy and to accept a substantial increase in interest rates.
1997-07-10_271,1997-07-10,0.1,neutral,False,"the retention of disciplined fiscal and monetary policies, are no easy tasks, and at times lead to many unpopular decisions"
1997-07-10_272,1997-07-10,0.1,neutral,False,"The new Government has had remarkable success over the past few years in the implementation of disciplined fiscal and monetary policies, and has gained confidence from investors and business people in its determination to apply sound economic policies in general."
1997-07-16_270,1997-07-16,0.1,neutral,False,bring inflation in South Africa more in line with the average rate of inflation in the economies of our major trading partners
1997-07-22_269,1997-07-22,0.1,neutral,False,"give the Reserve Bank, in other words, some greater flexibility in the implementation of overall monetary policy"
1997-08-14_268,1997-08-14,1.2,strongly hawkish,True,"a consistent counter-inflation monetary policy stance is the best course that the central banks, including the South African Reserve Bank, can follow"
1997-08-26_13,1997-08-26,1.2,strongly hawkish,True,"the monetary authorities must persist with their vigil against the threat of overall financial instability that can only lead to stagflation in due course. In the present situation, the Reserve Bank feels that a cautious monetary policy stance remains justified."
1997-09-03_267,1997-09-03,1.5,strongly hawkish,True,"It will be irresponsible for a central bank and, in the case of South Africa, indeed unconstitutional, to deliberately allow or encourage the creation of more money in a situation where all the available evidence points to higher inflation somewhere down-stream."
1997-09-05_266,1997-09-05,0.8,strongly hawkish,True,a low inflation rate should serve as the most important measure of the success of monetary policy
1997-09-08_265,1997-09-08,0.8,strongly hawkish,True,It will be imprudent to relax monetary policy prematurely after the major pain of restoring financial stability has already been suffered over a protracted period of time since February 1996.
1997-10-28_264,1997-10-28,0.7,leaning hawkish,True,the authorities nevertheless adopted a restrictive monetary policy stance to ensure that the adjustment in relative prices of tradable and non-tradable goods would not perpetuate into a long-lasting new era of high inflation
1997-11-07_262,1997-11-07,0.5,leaning hawkish,True,"The restrictive monetary policy, and particularly the rise in interest rates, were not received with unanimous support by all sectors of the South African community. Interest rates, however, remain one of the main disciplines of the market economy"
1997-11-07_263,1997-11-07,1.2,strongly hawkish,True,The overriding challenge remains to bring inflation in South Africa to a lower level that will be more in line with the average rate of inflation of our major trading partners. Financial stability in South Africa is threatened from time to time by new and more intensive inflationary pressures.
1997-11-19_261,1997-11-19,-1.2,strongly dovish,True,"the Reserve Bank adopted an easier monetary policy stance already in the middle of 1997. The Bank acquiesced in gradual increases in money market liquidity, and also in the declines of market interest rates... The Reserve Bank endorsed the easier monetary conditions by reducing the Bank rate from 17 to 16 per cent on 1997-10-20"
1998-03-23_258,1998-03-23,0.0,neutral,False,central banks now have the responsibility to protect the value of money
1998-04-01_257,1998-04-01,0.0,neutral,False,"the South African Reserve Bank took the initiative in April 1994, together with the banking industry, to reform the South African National Payment System"
1998-04-24_256,1998-04-24,1.3,strongly hawkish,True,"monetary policy must remain cautious, and why interest rates should not be forced down artificially by any excessive injection of liquidity by the Reserve Bank"
1998-04-29_255,1998-04-29,0.8,strongly hawkish,True,"The Reserve Bank is known for its conservative approach towards monetary policy, and is equally determined to maintain strict disciplines in the management of the money and banking systems of the country"
1998-05-04_254,1998-05-04,0.0,neutral,False,The Governors Committee of SADC took up the challenges of the development of basic financial infra-structures in each of its participating countries
1998-05-08_253,1998-05-08,0.1,neutral,False,"the lesson for South Africa from the East Asian crisis is therefore to be alert, to be cautious, and to be aware of the harsh but not unreasonable disciplines of the global markets"
1998-05-14_252,1998-05-14,0.5,leaning hawkish,True,"The Reserve Bank has tentatively assumed a goal of maintaining inflation at a level that will be more or less in line with inflation in the economies of South Africa's major trading partners and competitors in world markets. This will, in the present environment, require inflation of less than 5 per cent per annum."
1998-06-18_251,1998-06-18,1.2,strongly hawkish,True,"With a decline in the overall net capital inflow, and possibly a deficit in the overall balance of payments in May 1998, the exchange rate had to depreciate, domestic liquidity had to be drained out of the banking system, and interest rates had to rise."
1998-06-22_249,1998-06-22,0.0,neutral,False,The establishment of SADC created an opportunity for the central banks of the region to co-ordinate the development of the financial systems of the participating states.
1998-06-22_250,1998-06-22,0.0,neutral,False,the central bank's responsibilities should be restricted to the creation and maintenance of a stable financial environment that will be conducive for sustainable economic growth
1998-07-23_248,1998-07-23,0.1,neutral,False,the monetary policy centred on the medium-term objective of maintaining financial stability in the interest of optimum economic growth
1998-07-30_247,1998-07-30,1.2,strongly hawkish,True,This will require great caution with the implementation of monetary policy for the next twelve months... financial stability will be restored and maintained with appropriate restrictive monetary and fiscal policies
1998-09-02_246,1998-09-02,-1.2,strongly dovish,True,"In this situation, it will be irresponsible for the Bank to create more money in an effort to force interest rates down... the need to keep inflation in check in the aftermath of a depreciation of the rand"
1998-09-08_245,1998-09-08,0.0,neutral,False,"Project Literacy has already established itself as a major force in the daunting challenge of bringing more literacy, more training and more education to the people of South Africa"
1998-09-16_244,1998-09-16,0.1,neutral,False,"central banking is about management, the management of: Time Projects Programmes Crises Macroeconomic policies People, and Change"
1998-10-26_243,1998-10-26,-1.2,strongly dovish,True,"the adverse developments in the financial markets will continue to have secondary effects that will, for some time to come, exert a negative influence on global real economic activity"
1998-10-30_242,1998-10-30,1.2,strongly hawkish,True,It will also be foolish for South Africa now to try to revive the domestic economy by creating an excessive amount of additional credit extended by banking institutions in a fragile global financial environment
1998-11-03_241,1998-11-03,0.3,leaning hawkish,True,any deliberate actions taken by the monetary authorities to relax monetary policy should be implemented with caution
1998-11-05_240,1998-11-05,0.3,leaning hawkish,True,sound macroeconomic policies at all times makes it easier to absorb the fluctuations in the financial markets. Countries that do not apply sound macroeconomic policies are punished more severely during times of international currency turmoil
1999-01-21_239,1999-01-21,0.0,neutral,False,"The main purpose of this Conference is to assist financial regulators of the Southern Africa region to bring themselves and their constituencies, that is the financial institutions in the region, on board in this exercise of preparation for the Year 2000 electronic switch-over."
1999-02-05_237,1999-02-05,0.1,neutral,True,"inflation in South Africa remained on a steady downward path, interrupted only by the adverse effects of the exchange rate depreciations of 1996 and 1998"
1999-03-17_236,1999-03-17,0.2,leaning hawkish,True,a commitment by not only the Reserve Bank but also Government to lower inflation will add credibility to a resolute and collective objective of bringing inflation in South Africa in line with the relatively low levels that now apply in most other countries of the world
1999-03-29_235,1999-03-29,0.2,leaning hawkish,False,"interest rates rose to extremely high levels, and the rate of inflation increased from 5 per cent in April 1998 to 9,4 per cent in December 1998"
1999-04-12_234,1999-04-12,-0.5,leaning dovish,True,"The easing of interest rates by central banks in most industrial countries, including the United States, United Kingdom, and the newly-established European Central Bank... monetary policy to be eased, which in turn has helped to boost equity markets"
1999-05-17_233,1999-05-17,0.0,neutral,False,"The process of financial globalisation, or the integration of world financial markets, was made possible and is being driven mainly by the following four developments"
1999-05-25_232,1999-05-25,0.2,leaning hawkish,True,monetary policy had to flow with the flood
1999-06-23_231,1999-06-23,0.0,neutral,False,central banks should be given some autonomy for the implementation of monetary policy
1999-08-07_229,1999-08-07,1.2,strongly hawkish,True,a good central banker is always against inflation
1999-08-07_230,1999-08-07,0.3,leaning hawkish,True,it is not our role to provide an artificial stimulus for the economy. The role of the Bank is to create a climate of financial stability in which sustainable economic growth and wealth creation can be achieved
1999-08-24_17,1999-08-24,0.3,leaning hawkish,True,"the thrust of monetary policy in these circumstances should therefore be to establish and maintain financial stability, i.e. stability of prices, financial institutions and financial markets"
1999-09-02_228,1999-09-02,0.5,leaning hawkish,True,we must continue policies and programmes to contain inflation
1999-09-06_227,1999-09-06,0.8,strongly hawkish,True,inflation targeting should minimise the social and economic cost of achieving price stability
1999-10-11_225,1999-10-11,0.0,neutral,False,The Reserve Bank is not too concerned about these new developments at this stage. Customer needs are likely to be best met through effective competition
1999-11-02_224,1999-11-02,0.1,neutral,False,"the economy has been in a downswing, but the turning point seems to have been reached with the recovery set to gain momentum"
2000-03-14_223,2000-03-14,0.6,leaning hawkish,True,"Clear signs of increased inflationary pressures have become apparent in the South African economy. This has been reflected in a rise in the year-on-year rate of the production price index from 5,7 per cent in September 1999 to 8,2 per cent in January 2000."
2000-03-28_222,2000-03-28,0.5,leaning hawkish,True,"Clear signs of increased inflationary pressures have become apparent in the South African economy. This has been reflected in a rise in the year-on-year rate of the production price index from 5,7 per cent in September 1999 to 8,4 per cent in February 2000."
2000-04-13_221,2000-04-13,0.3,leaning hawkish,True,"High inflation leads to lower growth, fewer jobs and more unemployment. There can be no rational reason for the support of inflation in any country"
2000-07-26_219,2000-07-26,0.1,neutral,True,"The objective of monetary policy is now to hit this target, i.e. the inflation target is the overriding objective of monetary policy"
2000-10-11_216,2000-10-11,0.1,neutral,False,"central banks have the primary responsibility for controlling inflation. However, over the long term, stable financial conditions promote sustainably higher economic growth rates"
2000-10-25_214,2000-10-25,0.1,neutral,True,"Increasingly throughout the world, central banks are pursuing price stability as their basic policy focus. Where countries have high rates of inflation which are out of line with the rest of the world, disruptive capital flows could occur because of fears of currency misalignments."
2001-03-16_208,2001-03-16,0.3,leaning hawkish,True,"Our aim is for CPIX, which is the headline consumer price index excluding mortgage costs, to fall to between 6 and 3 percent by the year 2002. This aim remains the primary focus of our minds when we sit down, like we did today and yesterday, at our Monetary Policy Committee meetings to decide on our monetary policy stance."
2001-03-29_207,2001-03-29,0.1,neutral,True,"Economic growth appears to have levelled off in the first three months of 2001, although activity has remained at a relatively high level... Production and consumer price inflation have, therefore, tended downwards. All in all, South Africa's economic performance is good."
2001-07-13_204,2001-07-13,-0.8,strongly dovish,True,At our Monetary Policy Committee meeting in the middle of June we reduced the repo rate by 100 basis points
2001-08-23_203,2001-08-23,-0.3,leaning dovish,True,the recorded decline in export volumes contributed to a slowing down in domestic growth from 3 per cent in the fourth quarter of last year to 2 per cent in the first quarter of this year
2001-09-14_202,2001-09-14,0.3,leaning hawkish,True,"we have committed ourselves to our new inflation targeting monetary policy framework...our inflation objective is to achieve, by the end of calendar year 2002, an average rate of CPIX inflation of between 6 and 3 per cent"
2001-09-26_201,2001-09-26,0.3,leaning hawkish,True,"Increasingly throughout the world, central banks are pursuing price stability as their basic policy focus... The closer integration of the world economy has therefore focused the ultimate objective of monetary policy and made it even more important to attain this objective."
2001-11-29_200,2001-11-29,0.2,leaning hawkish,True,"We have an inflation targeting framework for monetary policy, which means that we must steer CPIX inflation to within the target area of 6 to 3 per cent in 2002 and 2003, and of 5 to 3 per cent in 2004 and 2005"
2002-02-06_199,2002-02-06,0.2,leaning hawkish,True,"Increasingly throughout the world, central banks are pursuing price stability as their basic policy focus... it is more imperative for monetary policy to pursue clearly stated objectives"
2003-08-26_176,2003-08-26,-0.8,strongly dovish,True,By the time of the March 2003 meeting of the Monetary Policy Committee it was clear that the rise in inflation had been contained...the Bank's forecast indicated that the inflation rate would move within the target range...the Monetary Policy Committee was confronted by a revision of the inflation figures...the Bank forecast indicated that the inflation rate would move within the target range of two during the second half of 2003
2004-06-18_171,2004-06-18,0.3,leaning hawkish,True,"Restrictive monetary policy measures undertaken and the subsequent recovery in the exchange rate of the rand then brought the rate of increase over twelve months in the CPIX down to 4,4 per cent in April 2004"
2004-07-22_169,2004-07-22,0.1,neutral,True,It is now more important than ever for us to stay the course as continued price stability is the most crucial pre-requisite for sustained economic growth and development in the years ahead.
2005-06-22_156,2005-06-22,0.0,neutral,True,"the Monetary Policy Committee will deliberate, in future, as it has done in the past, on the outlook for inflation and, looking forward, determine the level of short-term interest rates which it deems to be appropriate"
2005-07-25_154,2005-07-25,-1.2,strongly dovish,True,"Owing to the success achieved in the containment of inflation and with benign forecasts of future inflation, it was possible to decrease the repurchase rate by 50 basis points in August 2004 and again April 2005"
2005-11-14_149,2005-11-14,0.3,leaning hawkish,True,we have to be vigilant to the possible second-round effects or more broad-based increases in inflation which come about when prices are raised in expectation of a generalised price spiral induced by the higher petrol prices
2005-11-21_148,2005-11-21,0.3,leaning hawkish,True,"The inflation outlook has deteriorated moderately, with CPIX now seen at the upper end of the 3 – 6 per cent range in the first quarter of 2006. The Bank needs to guard against inflation expectations worsening further and becoming entrenched."
2006-08-30_139,2006-08-30,0.0,neutral,False,"Maintaining confidence in our money is, of course, not merely a matter of having beautiful designs, good security features, and ensuring that counterfeiters end up in jail. Right at the core of our monetary system is the need to protect the purchasing power of our money. The South African Reserve Bank is totally committed to doing so, by maintaining inflation within the target range of 3 to 6 per cent per annum."
2006-09-02_138,2006-09-02,0.7,leaning hawkish,True,"Given the increase in inflationary pressures and the resultant deterioration in the risks to the inflation outlook, the Monetary Policy Committee considered it necessary to tighten policy at the last two meetings."
2006-09-14_136,2006-09-14,0.0,neutral,False,An overview of the South African economy
2006-10-03_132,2006-10-03,1.3,strongly hawkish,True,"The SARB increased the repo rate by 50 basis points in both June and August 2006, to 8,0 per cent. This was in response to a deterioration in risks to the inflation outlook brought about by the depreciation of the ZAR, uncertainties regarding oil prices, exceptionally strong growth in household consumption and the widening of the current account deficit."
2006-10-05_131,2006-10-05,1.5,strongly hawkish,True,"we still see significant upside risk to the inflation outlook. Our major concern remains the growth of household consumer demand... It is hard to imagine that such trends, if unchecked, will not have inflationary consequences."
2006-10-07_130,2006-10-07,0.8,strongly hawkish,True,"In response to these developments, the Monetary Policy Committee of the South African Reserve Bank has raised the repo rate by 50 basis points at each of the past two meetings of the Monetary Policy Committee... Our focus, however, remains on the inflation target, and we will continue to strive to maintain CPIX inflation within the 3-to-6 per cent target range."
2006-10-13_128,2006-10-13,1.2,strongly hawkish,True,"a further increase in the repo rate was announced yesterday after the meeting of the Monetary Policy Committee... There are a number of risks to the inflation outlook, which led to our decision. These risk factors relate to the strength of domestic demand, exchange rate developments, food prices increases, as well as the potential threat from international oil price developments... if demand expands excessively, pressure on prices is logically likely to emerge. So from a narrow monetary policy perspective, we need to keep the growth of consumer demand in check."
2006-10-13_129,2006-10-13,0.0,neutral,False,The challenge of employment equity with specific reference to transformation at the South African Reserve Bank
2006-10-23_127,2006-10-23,0.7,leaning hawkish,True,"In recent months the risks to the inflation outlook have increased. Factors leading to this deterioration include high growth in consumer spending, rising levels of credit extension to the private sector and developments in the international oil prices...a challenge we face in the Bank is to keep inflation within the inflation target range"
2006-10-26_126,2006-10-26,1.2,strongly hawkish,True,"the risks facing our current inflation outlook, which has convinced the Monetary Policy Committee (MPC) of the Reserve Bank to increase the repo rate by 150 basis points since June 2006"
2006-11-02_125,2006-11-02,0.6,leaning hawkish,True,Central banks have responded by generally tightening monetary policies
2006-11-07_124,2006-11-07,0.2,leaning hawkish,False,"Bond yields have, however, risen since May 2006, reflecting the tighter monetary policy stance of the Bank since June 2006"
2006-11-14_123,2006-11-14,0.7,leaning hawkish,True,"If, in the view of the Monetary Policy Committee, the inflation target is being threatened by inflationary pressures, then the MPC will have the courage of its conviction to do the correct thing...the MPC will discharge its responsibilities in the event that inflationary pressures persist"
2006-11-15_122,2006-11-15,0.0,neutral,False,strict regulation will be applied as far as the NPS is concerned
2006-11-28_121,2006-11-28,0.0,neutral,False,"I have chosen to say nothing about the problems which, undoubtedly, exist in our respective regions"
2006-11-30_120,2006-11-30,0.8,strongly hawkish,True,"In response to the deteriorating inflation outlook, the monetary policy stance was adjusted in June of this year when we increased the repo rate by 50 basis points. The repo rate was increased further by 50 basis at each of the subsequent meetings in August and October."
2007-01-01_22,2007-01-01,0.0,neutral,False,"Programmes intended to achieve monetary union exist at the continental (AU), regional (SADC) and intra-regional levels (CMA): and Swaziland participates in them all."
2007-01-02_36,2007-01-02,0.2,leaning hawkish,True,"A reduction in global risk appetite would curb net capital inflows into emerging markets, placing downward pressure on emerging market currencies and in turn exacerbate inflationary pressures."
2007-01-04_26,2007-01-04,0.3,leaning hawkish,True,"Persistently high and rising oil prices could cause higher inflationary expectations to become more entrenched, thus increasing the probability of a further tightening of monetary policy"
2007-01-06_35,2007-01-06,0.1,neutral,False,"central banks need to ensure the functioning of financial markets, but in a very difficult balancing act, also need to guard against recreating conditions of careless lending"
2007-01-07_31,2007-01-07,0.0,neutral,False,The Structure of the South African Economy: Production and Employment Trends
2007-01-16_27,2007-01-16,0.0,neutral,False,"the bond market will have to respond appear, to me, to be principally two"
2007-01-26_25,2007-01-26,0.0,neutral,False,higher education institutions to respond in a more targeted fashion to national growth and development needs
2007-03-20_117,2007-03-20,0.3,leaning hawkish,True,"Through this exciting growth phase that we are experiencing, monetary policy has to ensure that inflation is kept under control. In other words we have to ensure that we maintain inflation within the 3-6 per cent target for CPIX. Excessively high growth brings with it potential inflationary pressures which monetary policy has to be sensitive to."
2007-05-04_115,2007-05-04,0.3,leaning hawkish,True,"Persistently high and rising oil prices could cause higher inflationary expectations to become more entrenched, thus increasing the probability of a further tightening of monetary policy"
2007-05-16_114,2007-05-16,0.0,neutral,False,the market will have to adopt to the fiscal stance of central government
2007-06-08_113,2007-06-08,0.1,neutral,False,The primary mandate of the South African Reserve Bank remains the achievement and maintenance of price stability. Maintaining low inflation contributes enormously towards the attainment of high and sustainable rates of economic growth and employment and maintenance of overall macroeconomic stability.
2007-06-28_112,2007-06-28,0.6,leaning hawkish,True,Food and oil prices are likely to remain an upside risk to the inflation outlook in South Africa. Monetary policy has to be sensitive to the impact of these developments on inflation expectations and we will act appropriately to prevent the emergence of more generalised inflation.
2007-08-02_111,2007-08-02,1.3,strongly hawkish,True,"In response to these adverse inflation pressures, monetary policy has been tightened and we have increased the repo rate by a total of 250 basis points since June 2006... The challenge for monetary policy is to ensure that inflation is brought back to within the target range... we will continue to strive to achieve our mandate and bring inflation back to within the inflation target range."
2007-08-07_110,2007-08-07,0.0,neutral,False,The Structure of the South African Economy: Production and Employment Trends
2007-08-30_43,2007-08-30,1.2,strongly hawkish,True,monetary policy has been tightened from June last year and the Monetary Policy Committee has raised interest rates on six occasions over the past 14 months by 50 basis points at a time
2007-09-06_109,2007-09-06,0.1,neutral,True,"Our most recent forecast that we reported on in the August MPC statement suggests that we will be outside the target range until the second quarter of next year, and then inflation will gradually decline."
2007-09-28_108,2007-09-28,0.1,neutral,True,"During the current tightening cycle, the South African rand on more than one occasion weakened when interest rates were increased"
2007-10-06_107,2007-10-06,0.2,leaning hawkish,True,"A reduction in global risk appetite would curb net capital inflows into emerging markets, placing downward pressure on emerging market currencies and in turn exacerbate inflationary pressures."
2007-11-07_106,2007-11-07,1.2,strongly hawkish,True,"These risks to the outlook have necessitated the tightening of monetary policy from 7 per cent in May 2006 to 10,5 per cent currently"
