meeting_date,title,policy_rate_final,rate_action_final,in_scope_inflation_targeting,henry_index,henry_hawkish_count,henry_dovish_count,henry_total_words,henry_hawkish_hits,henry_dovish_hits
2001-03-16,2001-03-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to evaluate the monetary policy stance,,,True,0.6154,136,72,4035,"{""strong"": 12, ""growth"": 22, ""more"": 8, ""stronger"": 4, ""increase"": 28, ""increased"": 2, ""rising"": 4, ""rise"": 6, ""achieve"": 2, ""higher"": 2, ""up"": 10, ""increases"": 6, ""improvement"": 4, ""high"": 8, ""expanded"": 2, ""increasing"": 2, ""record"": 4, ""rose"": 2, ""above"": 4, ""strength"": 2, ""improved"": 2}","{""down"": 14, ""less"": 2, ""weak"": 4, ""downturn"": 2, ""below"": 2, ""decline"": 8, ""low"": 10, ""lower"": 8, ""decreasing"": 2, ""weakness"": 2, ""fall"": 2, ""under"": 2, ""decreases"": 2, ""worsening"": 2, ""fell"": 2, ""declined"": 6, ""falls"": 2}"
2001-04-25,2001-04-25: Statement of the Monetary Policy Committee evaluated the monetary policy stance,,,True,0.4865,138,84,3775,"{""growth"": 26, ""rose"": 8, ""rise"": 6, ""most"": 4, ""strong"": 6, ""high"": 14, ""exceeded"": 2, ""increase"": 22, ""above"": 2, ""increasing"": 2, ""higher"": 8, ""record"": 6, ""opportunities"": 2, ""growing"": 2, ""increases"": 6, ""expansion"": 4, ""more"": 2, ""strengthen"": 2, ""better"": 2, ""up"": 2, ""improved"": 2, ""improvement"": 4, ""strength"": 2, ""achieving"": 2}","{""downturn"": 4, ""declined"": 14, ""under"": 4, ""lower"": 16, ""decline"": 6, ""negative"": 2, ""weakness"": 2, ""fall"": 6, ""decrease"": 4, ""declines"": 2, ""difficult"": 2, ""challenge"": 2, ""decreased"": 4, ""low"": 6, ""smaller"": 4, ""less"": 2, ""down"": 2, ""risk"": 2}"
2001-06-14,2001-06-14: Statement of the Monetary Policy Committee : analysed international and domestic economic developments in order to evaluate the monetary policy stance,,,True,0.6207,152,80,4512,"{""growth"": 36, ""higher"": 8, ""more"": 8, ""rise"": 8, ""leading"": 2, ""above"": 4, ""increase"": 16, ""most"": 8, ""increased"": 14, ""high"": 4, ""increases"": 14, ""rose"": 4, ""improving"": 2, ""strong"": 4, ""largest"": 2, ""exceeding"": 2, ""increasing"": 2, ""improved"": 2, ""improvement"": 2, ""exceeded"": 2, ""expand"": 2, ""rises"": 2, ""stronger"": 2, ""greater"": 2}","{""decline"": 8, ""weak"": 2, ""declined"": 16, ""lowest"": 2, ""lower"": 4, ""downturn"": 2, ""decreased"": 6, ""down"": 12, ""decrease"": 2, ""risks"": 6, ""below"": 10, ""low"": 2, ""under"": 2, ""fell"": 2, ""declining"": 4}"
2001-07-26,2001-07-26: Statement of the Monetary Policy Committee : made a detailed analysis of recent economic developments to decide on the most appropriate monetary policy stance,,cut,True,0.19,121,100,4137,"{""most"": 15, ""growth"": 24, ""increase"": 32, ""more"": 8, ""high"": 6, ""increased"": 18, ""positive"": 2, ""encouraging"": 2, ""rise"": 2, ""solid"": 2, ""better"": 2, ""improved"": 2, ""larger"": 2, ""strong"": 2, ""rising"": 2}","{""declined"": 22, ""down"": 16, ""fell"": 4, ""declines"": 2, ""decline"": 20, ""below"": 6, ""fall"": 4, ""decrease"": 2, ""risk"": 2, ""decreased"": 2, ""lower"": 8, ""threat"": 4, ""less"": 4, ""low"": 4}"
2001-09-20,2001-09-20: Statement of the Monetary Policy Committee : evaluated the monetary policy stance,9.5,cut,True,0.6667,148,74,4325,"{""growth"": 32, ""risen"": 2, ""highest"": 2, ""rise"": 6, ""rose"": 10, ""increased"": 12, ""better"": 2, ""most"": 4, ""improved"": 2, ""higher"": 8, ""high"": 12, ""increase"": 22, ""strong"": 4, ""up"": 4, ""strength"": 2, ""solid"": 2, ""more"": 4, ""greater"": 4, ""exceeded"": 2, ""increases"": 6, ""delivered"": 2, ""rising"": 2, ""rises"": 2}","{""lower"": 4, ""negative"": 8, ""disappointing"": 2, ""fell"": 2, ""below"": 4, ""smaller"": 2, ""decline"": 10, ""declined"": 10, ""weakness"": 2, ""down"": 8, ""low"": 8, ""declining"": 2, ""lowest"": 2, ""threats"": 2, ""decrease"": 2, ""declines"": 2, ""fall"": 2, ""risks"": 2}"
2001-11-15,2001-11-15: Statement of the Monetary Policy Committee : assessed recent international and domestic economic developments to decide on the appropriate monetary policy stance.,,,True,0.2256,148,118,4761,"{""most"": 10, ""more"": 12, ""rise"": 8, ""growth"": 30, ""grown"": 2, ""up"": 8, ""increased"": 6, ""rose"": 8, ""increase"": 24, ""strong"": 8, ""increases"": 14, ""higher"": 8, ""high"": 2, ""record"": 2, ""improved"": 2, ""highest"": 2, ""exceeds"": 2}","{""downturn"": 12, ""deteriorated"": 2, ""depressed"": 2, ""declined"": 12, ""negative"": 8, ""risk"": 4, ""decrease"": 2, ""dropped"": 2, ""lowest"": 4, ""down"": 8, ""decline"": 22, ""low"": 6, ""difficult"": 2, ""lower"": 16, ""less"": 4, ""weakness"": 2, ""fell"": 2, ""below"": 4, ""weak"": 2, ""falls"": 2}"
2002-01-15,2002-01-15: Statement of the Monetary Policy Committee: to discuss the appropriate monetary policy stance in view of the effects of recent economic developments on the outlook for inflation,10.5,hike,True,2.0,4,0,439,"{""increase"": 2, ""increases"": 2}",{}
2002-03-14,2002-03-14: Statement of the Monetary Policy Committee,11.5,hike,True,1.4286,108,18,2244,"{""up"": 6, ""increases"": 6, ""rose"": 8, ""increase"": 24, ""more"": 6, ""good"": 2, ""increased"": 4, ""rise"": 6, ""higher"": 8, ""growth"": 20, ""strong"": 4, ""improvement"": 2, ""most"": 2, ""rising"": 2, ""high"": 8}","{""below"": 2, ""declined"": 2, ""weakness"": 2, ""negative"": 6, ""less"": 2, ""decline"": 2, ""down"": 2}"
2002-06-13,2002-06-13: Statement of the Monetary Policy Committee,12.5,hike,True,1.3684,128,24,2852,"{""increased"": 8, ""rising"": 6, ""increases"": 18, ""increase"": 20, ""rose"": 10, ""more"": 10, ""certain"": 2, ""higher"": 8, ""exceeding"": 2, ""high"": 16, ""stronger"": 4, ""improvement"": 2, ""positive"": 2, ""greater"": 2, ""growth"": 10, ""expansion"": 4, ""up"": 2, ""rise"": 2}","{""risks"": 8, ""decline"": 6, ""below"": 4, ""low"": 2, ""down"": 2, ""declined"": 2}"
2002-09-12,2002-09-12: Statement of the Monetary Policy Committee,13.5,hike,True,1.4286,120,20,2888,"{""increase"": 26, ""increased"": 14, ""more"": 4, ""rose"": 6, ""high"": 8, ""rise"": 6, ""up"": 2, ""increases"": 18, ""strengthening"": 2, ""above"": 2, ""growth"": 16, ""higher"": 6, ""expansion"": 4, ""exceed"": 2, ""strengthened"": 2, ""grow"": 2}","{""declined"": 2, ""decline"": 4, ""weakness"": 2, ""risk"": 2, ""lower"": 2, ""less"": 2, ""down"": 2, ""fell"": 2, ""decreased"": 2}"
2002-11-28,2002-11-28: Statement of the Monetary Policy Committee,13.5,hold,True,1.0,84,28,2294,"{""increase"": 18, ""more"": 4, ""above"": 2, ""rising"": 2, ""rose"": 2, ""increases"": 12, ""growth"": 14, ""strengthening"": 2, ""improvement"": 2, ""most"": 4, ""higher"": 6, ""high"": 10, ""increased"": 2, ""grow"": 2, ""strong"": 2}","{""decreasing"": 2, ""down"": 4, ""lower"": 4, ""weak"": 2, ""decline"": 4, ""dropped"": 2, ""declined"": 2, ""fell"": 2, ""below"": 2, ""less"": 2, ""risks"": 2}"
2003-03-20,2003-03-20: Statement of the Monetary Policy Committee,13.5,hold,True,0.8919,214,82,5558,"{""improve"": 2, ""more"": 16, ""achieve"": 4, ""increase"": 52, ""above"": 6, ""rise"": 14, ""increased"": 14, ""higher"": 14, ""leading"": 4, ""increases"": 18, ""high"": 18, ""rose"": 6, ""growth"": 22, ""rising"": 2, ""improved"": 6, ""up"": 2, ""good"": 2, ""certain"": 2, ""improvement"": 2, ""achieved"": 2, ""most"": 2, ""strong"": 2, ""opportunity"": 2}","{""under"": 4, ""fall"": 2, ""declined"": 12, ""weakness"": 4, ""declines"": 2, ""risk"": 8, ""less"": 4, ""lower"": 6, ""difficult"": 2, ""down"": 6, ""negative"": 4, ""least"": 2, ""weakening"": 4, ""decline"": 8, ""low"": 2, ""risks"": 8, ""uncertainty"": 2, ""below"": 2}"
2003-06-12,2003-06-12: Statement of the Monetary Policy Committee,12.0,cut,True,-0.1176,80,90,3492,"{""increase"": 14, ""increased"": 12, ""more"": 4, ""improved"": 2, ""growth"": 22, ""up"": 2, ""improvement"": 2, ""higher"": 2, ""succeeded"": 2, ""rose"": 2, ""rise"": 2, ""increases"": 4, ""high"": 4, ""positive"": 2, ""progress"": 2, ""achieved"": 2}","{""declined"": 18, ""down"": 4, ""low"": 12, ""fell"": 2, ""decline"": 12, ""lower"": 8, ""below"": 8, ""weak"": 2, ""smaller"": 2, ""dropped"": 2, ""decrease"": 2, ""decreased"": 2, ""risks"": 6, ""risk"": 4, ""depressed"": 2, ""fall"": 2, ""uncertain"": 2}"
2003-08-14,2003-08-14: Statement of the Monetary Policy Committee,11.0,cut,True,0.4471,104,66,3184,"{""above"": 6, ""accomplishment"": 2, ""increase"": 20, ""grow"": 2, ""growth"": 14, ""increased"": 4, ""more"": 8, ""high"": 12, ""rose"": 6, ""rise"": 2, ""most"": 4, ""rising"": 2, ""improve"": 2, ""improvement"": 2, ""increases"": 6, ""certain"": 2, ""increasing"": 2, ""strong"": 4, ""larger"": 4}","{""down"": 10, ""decline"": 16, ""lower"": 6, ""declined"": 6, ""low"": 8, ""fell"": 2, ""decrease"": 4, ""decreased"": 2, ""below"": 2, ""declining"": 2, ""fall"": 4, ""shrink"": 2, ""risks"": 2}"
2003-09-10,2003-09-10: Statement of the Monetary Policy Committee,10.0,cut,True,0.7333,82,38,2080,"{""growth"": 18, ""above"": 2, ""improved"": 6, ""certain"": 2, ""increase"": 18, ""increasing"": 2, ""up"": 6, ""increases"": 2, ""improvement"": 2, ""rose"": 4, ""greater"": 2, ""risen"": 2, ""more"": 6, ""increased"": 2, ""growing"": 2, ""encouraging"": 2, ""most"": 2, ""achieved"": 2}","{""under"": 2, ""low"": 2, ""less"": 2, ""risks"": 2, ""weak"": 2, ""declined"": 8, ""decline"": 2, ""below"": 4, ""declines"": 2, ""declining"": 4, ""lower"": 4, ""fall"": 2, ""deteriorate"": 2}"
2003-10-16,2003-10-16: Statement of the Monetary Policy Committee,8.5,cut,True,0.5854,106,58,3388,"{""rise"": 8, ""growth"": 14, ""increase"": 36, ""most"": 6, ""up"": 2, ""above"": 2, ""rose"": 4, ""more"": 8, ""increases"": 8, ""higher"": 2, ""increasing"": 4, ""improved"": 2, ""increased"": 4, ""expansion"": 2, ""improvement"": 2, ""positive"": 2}","{""down"": 8, ""dropped"": 4, ""falling"": 2, ""lowest"": 2, ""declined"": 10, ""fell"": 4, ""decreased"": 4, ""decline"": 4, ""lower"": 4, ""decrease"": 2, ""fall"": 2, ""below"": 4, ""low"": 2, ""risk"": 4, ""deteriorates"": 2}"
2003-12-11,2003-12-11: Statement of the Monetary Policy Committee,8.0,cut,True,0.75,154,70,3666,"{""more"": 6, ""increases"": 16, ""rising"": 6, ""increase"": 24, ""improvement"": 2, ""high"": 6, ""most"": 8, ""risen"": 2, ""rose"": 2, ""rise"": 6, ""higher"": 4, ""improved"": 2, ""stronger"": 4, ""growth"": 22, ""increased"": 14, ""success"": 2, ""achieved"": 4, ""above"": 6, ""positive"": 2, ""up"": 6, ""strong"": 4, ""improve"": 2, ""exceed"": 2, ""leading"": 2}","{""lower"": 10, ""declined"": 10, ""down"": 8, ""low"": 12, ""declining"": 2, ""declines"": 4, ""negative"": 2, ""threat"": 2, ""decline"": 4, ""below"": 4, ""less"": 2, ""risks"": 4, ""decreases"": 2, ""risk"": 2, ""deteriorates"": 2}"
2004-02-26,2004-02-26: Statement of the Monetary Policy Committee,8.0,hold,True,0.76,138,62,3696,"{""success"": 2, ""achieved"": 2, ""accomplishment"": 2, ""increases"": 14, ""improved"": 2, ""up"": 8, ""growth"": 26, ""improve"": 4, ""increase"": 30, ""increasing"": 2, ""more"": 8, ""rose"": 6, ""most"": 4, ""strong"": 2, ""increased"": 4, ""positive"": 6, ""certain"": 2, ""rise"": 4, ""higher"": 2, ""high"": 4, ""exceeded"": 2, ""exceed"": 2}","{""below"": 4, ""down"": 10, ""decreased"": 4, ""decline"": 10, ""declined"": 6, ""fell"": 2, ""decrease"": 4, ""low"": 10, ""threat"": 2, ""less"": 2, ""least"": 2, ""lower"": 4, ""risk"": 2}"
2004-04-22,2004-04-22: Statement of the Monetary Policy Committee,8.0,hold,True,0.8261,130,54,3488,"{""risen"": 2, ""increase"": 28, ""higher"": 8, ""rose"": 8, ""up"": 8, ""high"": 4, ""increases"": 16, ""most"": 6, ""growth"": 22, ""strong"": 6, ""rise"": 4, ""more"": 2, ""improved"": 4, ""improvement"": 2, ""increased"": 6, ""greater"": 2, ""above"": 2}","{""less"": 4, ""low"": 8, ""decline"": 16, ""declined"": 8, ""negative"": 4, ""down"": 2, ""threat"": 2, ""below"": 2, ""risk"": 6, ""threats"": 2}"
2004-06-10,2004-06-10: Statement of the Monetary Policy Committee,8.0,hold,True,1.0108,140,46,3098,"{""increases"": 24, ""most"": 4, ""improved"": 6, ""growth"": 20, ""expansion"": 2, ""record"": 2, ""increase"": 28, ""above"": 4, ""high"": 10, ""higher"": 4, ""rise"": 10, ""increased"": 4, ""exceeded"": 2, ""strong"": 2, ""up"": 4, ""more"": 6, ""strength"": 2, ""grow"": 2, ""greater"": 2, ""rose"": 2}","{""decreased"": 2, ""below"": 4, ""lower"": 4, ""down"": 6, ""decline"": 8, ""decrease"": 2, ""declined"": 2, ""fall"": 2, ""less"": 2, ""low"": 6, ""smaller"": 2, ""declining"": 2, ""risks"": 2, ""risk"": 2}"
2004-08-12,2004-08-12: Statement of the Monetary Policy Committee,7.5,cut,True,0.784,174,76,4188,"{""more"": 6, ""increases"": 16, ""better"": 2, ""rise"": 18, ""achieved"": 4, ""growth"": 28, ""increase"": 22, ""rose"": 14, ""most"": 6, ""certain"": 2, ""above"": 4, ""high"": 8, ""greater"": 2, ""achieve"": 2, ""positive"": 8, ""stronger"": 2, ""increased"": 12, ""grow"": 2, ""strong"": 4, ""increasing"": 2, ""improvements"": 2, ""higher"": 4, ""rising"": 2, ""improvement"": 2}","{""lower"": 14, ""down"": 4, ""declined"": 14, ""decline"": 6, ""low"": 16, ""deteriorated"": 2, ""negative"": 6, ""fall"": 2, ""declining"": 6, ""risks"": 2, ""threat"": 4}"
2004-10-14,2004-10-14: Statement of the Monetary Policy Committee,7.5,hold,True,0.7727,122,54,3332,"{""increase"": 32, ""expansion"": 2, ""growth"": 24, ""achieving"": 2, ""increases"": 16, ""more"": 8, ""up"": 2, ""high"": 8, ""increased"": 8, ""improvement"": 2, ""higher"": 4, ""improved"": 2, ""positive"": 2, ""strong"": 2, ""rose"": 6, ""above"": 2}","{""low"": 14, ""decreased"": 6, ""declined"": 10, ""down"": 6, ""decline"": 6, ""lower"": 6, ""fallen"": 2, ""difficult"": 2, ""risk"": 2}"
2004-12-09,2004-12-09: Statement of the Monetary Policy Committee,7.5,hold,True,1.04,190,60,4084,"{""growth"": 22, ""good"": 2, ""improvement"": 4, ""rising"": 6, ""strong"": 4, ""more"": 8, ""increase"": 42, ""up"": 12, ""accomplished"": 2, ""increases"": 14, ""rise"": 20, ""increased"": 6, ""higher"": 4, ""largest"": 2, ""improved"": 4, ""certain"": 6, ""above"": 6, ""stronger"": 2, ""positive"": 2, ""strength"": 2, ""high"": 6, ""progress"": 2, ""strengthening"": 4, ""strengthened"": 2, ""rises"": 2, ""opportunity"": 2, ""exceeded"": 2}","{""declining"": 4, ""declined"": 8, ""below"": 4, ""lower"": 10, ""down"": 4, ""decrease"": 4, ""fell"": 2, ""low"": 10, ""decline"": 6, ""weakening"": 4, ""difficult"": 2, ""less"": 2}"
2005-02-10,2005-02-10: Statement of the Monetary Policy Committee,7.5,hold,True,1.156,172,46,3674,"{""positive"": 4, ""growth"": 36, ""highest"": 2, ""high"": 8, ""increases"": 22, ""more"": 4, ""higher"": 6, ""strong"": 8, ""increase"": 30, ""increased"": 8, ""rose"": 10, ""most"": 2, ""above"": 4, ""strength"": 4, ""stronger"": 2, ""improved"": 4, ""improvement"": 2, ""up"": 6, ""achievement"": 2, ""rise"": 8}","{""decline"": 10, ""lower"": 8, ""down"": 10, ""low"": 8, ""declined"": 2, ""weakened"": 2, ""fall"": 2, ""risks"": 4}"
