meeting_date,title,window_start,n_speeches_in_window,statement_index,avg_speech_index,contrib_statement,contrib_speech,combined_index
2000-11-16,2000-11-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to arrive at a decision regarding the monetary policy stance,2000-10-16,1,0.8679,1.2,0.434,0.6,1.0339
2001-01-19,2001-01-19: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments in order to evaluate the monetary policy stance.,2000-11-16,0,0.7107,,0.7107,0.0,0.7107
2001-03-16,2001-03-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to evaluate the monetary policy stance,2001-01-19,1,0.6154,0.6506,0.3077,0.3253,0.633
2001-04-25,2001-04-25: Statement of the Monetary Policy Committee evaluated the monetary policy stance,2001-03-16,1,0.4865,0.5743,0.2432,0.2872,0.5304
2001-06-14,2001-06-14: Statement of the Monetary Policy Committee : analysed international and domestic economic developments in order to evaluate the monetary policy stance,2001-04-25,0,0.6207,,0.6207,0.0,0.6207
2001-07-26,2001-07-26: Statement of the Monetary Policy Committee : made a detailed analysis of recent economic developments to decide on the most appropriate monetary policy stance,2001-06-14,1,0.19,0.5714,0.095,0.2857,0.3807
2001-09-20,2001-09-20: Statement of the Monetary Policy Committee : evaluated the monetary policy stance,2001-07-26,2,0.6667,0.763,0.2222,0.5086,0.7309
2001-11-15,2001-11-15: Statement of the Monetary Policy Committee : assessed recent international and domestic economic developments to decide on the appropriate monetary policy stance.,2001-09-20,1,0.2256,1.037,0.1128,0.5185,0.6313
2002-01-15,2002-01-15: Statement of the Monetary Policy Committee: to discuss the appropriate monetary policy stance in view of the effects of recent economic developments on the outlook for inflation,2001-11-15,1,2.0,0.8169,1.0,0.4084,1.4084
2002-03-14,2002-03-14: Statement of the Monetary Policy Committee,2002-01-15,1,1.4286,1.1648,0.7143,0.5824,1.2967
2002-06-13,2002-06-13: Statement of the Monetary Policy Committee,2002-03-14,0,1.3684,,1.3684,0.0,1.3684
2002-09-12,2002-09-12: Statement of the Monetary Policy Committee,2002-06-13,0,1.4286,,1.4286,0.0,1.4286
2002-11-28,2002-11-28: Statement of the Monetary Policy Committee,2002-09-12,0,1.0,,1.0,0.0,1.0
2003-03-20,2003-03-20: Statement of the Monetary Policy Committee,2002-11-28,0,0.8919,,0.8919,0.0,0.8919
2003-06-12,2003-06-12: Statement of the Monetary Policy Committee,2003-03-20,0,-0.1176,,-0.1176,0.0,-0.1176
2003-08-14,2003-08-14: Statement of the Monetary Policy Committee,2003-06-12,0,0.4471,,0.4471,0.0,0.4471
2003-09-10,2003-09-10: Statement of the Monetary Policy Committee,2003-08-14,1,0.7333,0.7305,0.3666,0.3653,0.7319
2003-10-16,2003-10-16: Statement of the Monetary Policy Committee,2003-09-10,0,0.5854,,0.5854,0.0,0.5854
2003-12-11,2003-12-11: Statement of the Monetary Policy Committee,2003-10-16,0,0.75,,0.75,0.0,0.75
2004-02-26,2004-02-26: Statement of the Monetary Policy Committee,2003-12-11,0,0.76,,0.76,0.0,0.76
2004-04-22,2004-04-22: Statement of the Monetary Policy Committee,2004-02-26,0,0.8261,,0.8261,0.0,0.8261
2004-06-10,2004-06-10: Statement of the Monetary Policy Committee,2004-04-22,0,1.0108,,1.0108,0.0,1.0108
2004-08-12,2004-08-12: Statement of the Monetary Policy Committee,2004-06-10,2,0.784,1.097,0.2613,0.7313,0.9927
2004-10-14,2004-10-14: Statement of the Monetary Policy Committee,2004-08-12,0,0.7727,,0.7727,0.0,0.7727
2004-12-09,2004-12-09: Statement of the Monetary Policy Committee,2004-10-14,0,1.04,,1.04,0.0,1.04
2005-02-10,2005-02-10: Statement of the Monetary Policy Committee,2004-12-09,0,1.156,,1.156,0.0,1.156
2005-04-14,2005-04-14: Statement of the Monetary Policy Committee,2005-02-10,0,0.5517,,0.5517,0.0,0.5517
2005-06-09,2005-06-09: Statement of the Monetary Policy Committee,2005-04-14,0,0.9677,,0.9677,0.0,0.9677
2005-08-11,2005-08-11: Statement of the Monetary Policy Committee,2005-06-09,2,0.9231,1.0191,0.3077,0.6794,0.9871
2005-10-13,2005-10-13: Statement of the Monetary Policy Committee,2005-08-11,0,1.125,,1.125,0.0,1.125
2005-12-08,2005-12-08: Statement of the Monetary Policy Committee,2005-10-13,2,0.75,1.1134,0.25,0.7423,0.9923
2006-02-02,2006-02-02: Statement of the Monetary Policy Committee,2005-12-08,0,1.0,,1.0,0.0,1.0
2006-04-13,2006-04-13: Statement of the Monetary Policy Committee,2006-02-02,0,0.76,,0.76,0.0,0.76
2006-06-08,2006-06-08: Statement of the Monetary Policy Committee,2006-04-13,0,0.6275,,0.6275,0.0,0.6275
2006-08-03,2006-08-03: Statement of the Monetary Policy Committee,2006-06-08,0,1.0435,,1.0435,0.0,1.0435
2006-10-12,2006-10-12: Statement of the Monetary Policy Committee,2006-08-03,6,0.8148,0.9207,0.1164,0.7892,0.9056
2006-12-07,2006-12-07: Statement of the Monetary Policy Committee,2006-10-12,10,0.9425,1.0236,0.0857,0.9305,1.0162
2007-02-15,2007-02-15: Statement of the Monetary Policy Committee,2006-12-07,7,0.9787,0.8311,0.1223,0.7272,0.8495
2007-04-12,2007-04-12: Statement of the Monetary Policy Committee,2007-02-15,1,0.819,1.4361,0.4095,0.718,1.1275
2007-06-07,2007-06-07: Statement of the Monetary Policy Committee,2007-04-12,2,1.4016,0.8487,0.4672,0.5658,1.033
2007-08-16,2007-08-16: Statement of the Monetary Policy Committee,2007-06-07,4,0.6916,1.0448,0.1383,0.8358,0.9741
2007-10-11,2007-10-11: Statement of the Monetary Policy Committee,2007-08-16,4,0.6667,0.7722,0.1333,0.6177,0.7511
2007-12-06,2007-12-06: Statement of the Monetary Policy Committee,2007-10-11,1,0.56,0.8889,0.28,0.4445,0.7245
2008-01-31,2008-01-31: Statement of the Monetary Policy Committee,2007-12-06,1,0.0526,0.3729,0.0263,0.1865,0.2127
2008-04-10,2008-04-10: Statement of the Monetary Policy Committee,2008-01-31,1,0.4615,0.3866,0.2308,0.1933,0.4241
2008-06-12,2008-06-12: Statement of the Monetary Policy Committee,2008-04-10,7,0.4762,0.699,0.0595,0.6116,0.6711
2008-08-14,2008-08-14: Statement of the Monetary Policy Committee,2008-06-12,3,0.297,0.9548,0.0742,0.7161,0.7904
2008-10-09,2008-10-09: Statement of the Monetary Policy Committee,2008-08-14,2,0.2268,0.7532,0.0756,0.5021,0.5777
2008-12-11,2008-12-11: Statement of the Monetary Policy Committee,2008-10-09,1,-0.4286,0.6087,-0.2143,0.3044,0.0901
2009-02-05,2009-02-05: Statement of the Monetary Policy Committee,2008-12-11,0,-0.2424,,-0.2424,0.0,-0.2424
2009-03-24,2009-03-24: Statement of the Monetary Policy Committee,2009-02-05,2,-0.2222,0.5798,-0.0741,0.3865,0.3125
2009-04-30,2009-04-30: Statement of the Monetary Policy Committee,2009-03-24,1,-0.0241,0.6027,-0.012,0.3014,0.2893
2009-05-28,2009-05-28: Statement of the Monetary Policy Committee,2009-04-30,4,-0.1463,0.1185,-0.0293,0.0948,0.0656
2009-06-25,2009-06-25: Statement of the Monetary Policy Committee,2009-05-28,0,-0.0241,,-0.0241,0.0,-0.0241
2009-08-13,2009-08-13: Statement of the Monetary Policy Committee,2009-06-25,1,-0.1765,0.4918,-0.0882,0.2459,0.1577
2009-09-22,2009-09-22: Statement of the Monetary Policy Committee,2009-08-13,1,-0.0779,1.354,-0.0389,0.677,0.6381
2009-10-22,2009-10-22: Statement of the Monetary Policy Committee,2009-09-22,2,0.1081,0.7059,0.036,0.4706,0.5066
2009-11-17,2009-11-17: Statement of the Monetary Policy Committee,2009-10-22,1,-0.1224,1.0,-0.0612,0.5,0.4388
2010-01-26,2010-01-26: Statement of the Monetary Policy Committee,2009-11-17,1,0.297,0.9846,0.1485,0.4923,0.6408
2010-03-25,2010-03-25: Statement of the Monetary Policy Committee,2010-01-26,2,0.5,0.8788,0.1667,0.5859,0.7525
2010-05-13,2010-05-13: Statement of the Monetary Policy Committee,2010-03-25,4,0.6506,0.597,0.1301,0.4776,0.6077
2010-07-22,2010-07-22: Statement of the Monetary Policy Committee,2010-05-13,3,0.1205,0.4514,0.0301,0.3386,0.3687
2010-09-09,2010-09-09: Statement of the Monetary Policy Committee,2010-07-22,1,0.1695,0.2667,0.0848,0.1333,0.2181
2010-11-18,2010-11-18: Statement of the Monetary Policy Committee,2010-09-09,5,0.5385,0.5152,0.0897,0.4293,0.5191
2011-01-20,2011-01-20: Statement of the Monetary Policy Committee,2010-11-18,2,0.7576,0.4284,0.2525,0.2856,0.5381
2011-03-24,2011-03-24: Statement of the Monetary Policy Committee,2011-01-20,3,0.5827,0.982,0.1457,0.7365,0.8821
2011-05-12,2011-05-12: Statement of the Monetary Policy Committee,2011-03-24,4,0.6947,1.143,0.1389,0.9144,1.0534
2011-07-21,2011-07-21: Statement of the Monetary Policy Committee,2011-05-12,7,0.5827,0.8774,0.0728,0.7677,0.8405
2011-09-22,2011-09-22: Statement of the Monetary Policy Committee,2011-07-21,4,0.1488,0.896,0.0298,0.7168,0.7465
2011-11-10,2011-11-10: Statement of the Monetary Policy Committee,2011-09-22,1,0.4854,0.6389,0.2427,0.3195,0.5622
2012-01-19,2012-01-19: Statement of the Monetary Policy Committee,2011-11-10,1,0.4839,0.0917,0.2419,0.0459,0.2878
2012-03-29,2012-03-29: Statement of the Monetary Policy Committee,2012-01-19,3,0.7114,1.0649,0.1779,0.7987,0.9766
2012-05-24,2012-05-24: Statement of the Monetary Policy Committee,2012-03-29,3,0.3802,0.6459,0.095,0.4844,0.5795
2012-07-19,Statement of the Monetary Policy Committee,2012-05-24,5,0.0741,0.764,0.0123,0.6367,0.649
2012-09-20,STATEMENT OF THE MONETARY POLICY COMMITTEE,2012-07-19,8,0.3669,0.8714,0.0408,0.7746,0.8154
2012-11-22,Statement of the Monetary Policy Committee,2012-09-20,9,0.4459,0.771,0.0446,0.6939,0.7385
2013-01-24,Statement of the Monetary Policy Committee,2012-11-22,2,0.5833,0.4389,0.1944,0.2926,0.487
2013-03-20,Statement of the Monetary Policy Committee,2013-01-24,2,0.5393,0.381,0.1798,0.254,0.4338
2013-05-23,Statement of the Monetary Policy Committee,2013-03-20,3,0.2545,1.0202,0.0636,0.7651,0.8288
2013-07-18,Statement of the Monetary Policy Committee,2013-05-23,3,0.5714,0.5888,0.1429,0.4416,0.5844
2013-09-19,Statement of the Monetary Policy Committee,2013-07-18,8,0.2303,0.9092,0.0256,0.8082,0.8338
2013-11-21,Statement of the Monetary Policy Committee,2013-09-19,8,0.3607,0.9088,0.0401,0.8078,0.8479
2014-01-29,Statement of the Monetary Policy Committee ,2013-11-21,2,0.3288,0.6378,0.1096,0.4252,0.5348
2014-03-27,Statement of the Monetary Policy Committee,2014-01-29,4,0.5695,0.8456,0.1139,0.6765,0.7904
2014-05-22,Statement of the Monetary Policy Committee,2014-03-27,2,0.0263,0.6133,0.0088,0.4089,0.4176
2014-07-17,Statement of the Monetary Policy Committee,2014-05-22,4,0.1887,0.6286,0.0377,0.5029,0.5406
2014-09-18,Statement of the Monetary Policy Committee,2014-07-17,5,0.3354,0.5055,0.0559,0.4212,0.4771
2014-11-20,Statement of the Monetary Policy Committee,2014-09-18,8,0.0988,0.572,0.011,0.5084,0.5194
2015-01-29,Statement of the Monetary Policy Committee,2014-11-20,1,0.1091,0.4742,0.0546,0.2371,0.2917
2015-03-26,Statement of the Monetary Policy Committee,2015-01-29,5,0.3077,0.341,0.0513,0.2842,0.3355
2015-05-21,Statement of the Monetary Policy Committee,2015-03-26,4,0.3311,0.7007,0.0662,0.5605,0.6268
2015-07-23,Statement of the Monetary Policy Committee,2015-05-21,4,0.137,0.4134,0.0274,0.3308,0.3582
2015-09-23,Statement of the Monetary Policy Committee,2015-07-23,4,-0.1583,0.2176,-0.0317,0.1741,0.1425
2015-11-19,Statement of the Monetary Policy Committee,2015-09-23,9,0.2769,0.6088,0.0277,0.5479,0.5756
2016-01-28,Statement of the Monetary Policy Committee,2015-11-19,3,0.1793,0.323,0.0448,0.2423,0.2871
2016-03-17,Statement of the Monetary Policy Committee,2016-01-28,2,0.4054,0.296,0.1351,0.1974,0.3325
2016-05-19,Statement of the Monetary Policy Committee,2016-03-17,2,0.3401,0.4546,0.1134,0.303,0.4164
2016-07-21,Statement of the Monetary Policy Committee,2016-05-19,5,0.0719,0.6606,0.012,0.5505,0.5625
2016-09-22,Statement of the Monetary Policy Committee,2016-07-21,9,0.3158,0.5989,0.0316,0.539,0.5706
2016-11-24,Statement of the Monetary Policy Committee,2016-09-22,4,0.6457,0.6334,0.1291,0.5067,0.6359
2017-01-24,Statement of the Monetary Policy Committee,2016-11-24,2,0.5103,0.2499,0.1701,0.1666,0.3367
2017-03-30,Statement of the Monetary Policy Committee,2017-01-24,4,0.55,1.1336,0.11,0.9069,1.0169
2017-05-25,Statement of the Monetary Policy Committee,2017-03-30,3,0.1311,0.5451,0.0328,0.4088,0.4416
2017-07-20,Statement of the Monetary Policy Committee,2017-05-25,5,0.0571,0.7576,0.0095,0.6313,0.6408
2017-09-21,Statement of the Monetary Policy Committee,2017-07-20,9,0.3111,0.5177,0.0311,0.4659,0.4971
2017-11-23,Statement of the Monetary Policy Committee,2017-09-21,7,0.3262,0.6957,0.0408,0.6088,0.6495
2018-01-18,Statement of the Monetary Policy Committee,2017-11-23,1,0.7407,0.2955,0.3704,0.1477,0.5181
2018-03-28,Statement of the Monetary Policy Committee,2018-01-18,2,0.5085,0.4687,0.1695,0.3125,0.482
2018-05-24,Statement of the Monetary Policy Committee,2018-03-28,4,0.6364,0.5768,0.1273,0.4615,0.5888
2018-07-19,Statement of the Monetary Policy Committee,2018-05-24,3,0.2222,0.7634,0.0556,0.5725,0.6281
2018-09-20,Statement of the Monetary Policy Committee,2018-07-19,7,0.4416,0.6767,0.0552,0.5921,0.6473
2018-11-22,Statement of the Monetary Policy Committee ,2018-09-20,7,0.321,0.6693,0.0401,0.5856,0.6257
2019-01-17,Statement of the Monetary Policy Committee ,2018-11-22,2,0.0274,0.3772,0.0091,0.2515,0.2606
2019-03-28,Statement of the Monetary Policy Committee ,2019-01-17,4,0.0,0.7679,0.0,0.6143,0.6143
2019-05-23,Statement of the Monetary Policy Committee ,2019-03-28,3,-0.1081,0.388,-0.027,0.291,0.264
2019-07-18,Statement of the Monetary Policy Committee ,2019-05-23,6,-0.4615,0.845,-0.0659,0.7243,0.6584
2019-09-19,Statement of the Monetary Policy Committee ,2019-07-18,2,0.0845,0.5584,0.0282,0.3723,0.4004
2019-11-21,Statement of the Monetary Policy Committee ,2019-09-19,0,-0.2588,,-0.2588,0.0,-0.2588
2020-01-16,Statement of the Monetary Policy Committee,2019-11-21,0,-0.0976,,-0.0976,0.0,-0.0976
2020-03-19,Statement of the Monetary Policy Committee,2020-01-16,1,-0.2687,0.4267,-0.1343,0.2134,0.079
2020-04-14,Statement of the Monetary Policy Committee 14 April 2020,2020-03-19,0,0.0299,,0.0299,0.0,0.0299
2020-05-21,Statement of the Monetary Policy Committee,2020-04-14,0,-0.1961,,-0.1961,0.0,-0.1961
2020-07-23,Statement of the Monetary Policy Committee,2020-05-21,1,-0.1091,0.1538,-0.0546,0.0769,0.0223
2020-09-17,Statement of the Monetary Policy Committee,2020-07-23,3,0.1143,0.3426,0.0286,0.2569,0.2855
2020-11-19,Statement of the Monetary Policy Committee,2020-09-17,3,0.2535,0.259,0.0634,0.1943,0.2576
2021-01-21,Statement of the Monetary Policy Committee,2020-11-19,2,0.5143,0.3179,0.1714,0.212,0.3834
2021-03-25,Statement of the Monetary Policy Committee March 2021,2021-01-21,0,0.6364,,0.6364,0.0,0.6364
2021-05-20,Statement of the Monetary Policy Committee May 2021,2021-03-25,0,0.7294,,0.7294,0.0,0.7294
2021-07-22,Statement of the Monetary Policy Committee July 2021,2021-05-20,1,0.8764,1.3548,0.4382,0.6774,1.1156
2021-09-23,Statement of the Monetary Policy Committee September 2021,2021-07-22,3,0.5882,0.6044,0.147,0.4533,0.6003
2021-11-18,Statement of the Monetary Policy Committee November 2021,2021-09-23,0,0.7789,,0.7789,0.0,0.7789
2022-01-27,Statement of the Monetary Policy Committee January 2022,2021-11-18,0,0.8814,,0.8814,0.0,0.8814
2022-03-24,Statement of the Monetary Policy Committee March 2022,2022-01-27,0,1.008,,1.008,0.0,1.008
2022-05-19,Statement of the Monetary Policy Committee May 2022,2022-03-24,2,0.9027,0.4795,0.3009,0.3197,0.6206
2022-07-21,Statement of the Monetary Policy Committee July 2022,2022-05-19,0,0.9831,,0.9831,0.0,0.9831
2022-09-22,Statement of the Monetary Policy Committee September 2022,2022-07-21,5,0.2373,0.3296,0.0396,0.2747,0.3142
2022-11-24,Statement of the Monetary Policy Committee November 2022,2022-09-22,3,0.4696,0.8795,0.1174,0.6596,0.777
2023-01-26,Statement of the Monetary Policy Committee January 2023,2022-11-24,0,0.5676,,0.5676,0.0,0.5676
2023-03-30,Statement of the Monetary Policy Committee March 2023,2023-01-26,3,0.7737,0.6284,0.1934,0.4713,0.6647
2023-05-25,Statement of the Monetary Policy Committee May 2023,2023-03-30,6,0.8661,0.7925,0.1237,0.6793,0.803
2023-07-20,Statement of the Monetary Policy Committee July 2023,2023-05-25,2,0.5143,0.5806,0.1714,0.3871,0.5585
2023-09-21,Statement of the Monetary Policy Committee September 2023,2023-07-20,3,0.6667,0.6165,0.1667,0.4624,0.6291
2023-11-23,Statement of the Monetary Policy Committee November 2023,2023-09-21,2,0.6786,0.5416,0.2262,0.3611,0.5873
2024-01-25,Statement of the Monetary Policy Committee January 2024,2023-11-23,2,0.6105,0.4867,0.2035,0.3244,0.5279
2024-03-27,Statement of the Monetary Policy Committee March 2024,2024-01-25,3,0.5778,0.968,0.1444,0.726,0.8704
2024-05-30,Statement of the Monetary Policy Committee May 2024,2024-03-27,3,0.9231,0.6748,0.2308,0.5061,0.7369
2024-07-18,Statement of the Monetary Policy Committee July 2024,2024-05-30,1,0.8,-0.023,0.4,-0.0115,0.3885
2024-09-19,Statement of the Monetary Policy Committee September 2024,2024-07-18,4,0.3297,0.8499,0.0659,0.68,0.7459
2024-11-21,Statement of the Monetary Policy Committee November 2024,2024-09-19,3,0.3133,0.9398,0.0783,0.7048,0.7832
2025-01-30,Statement of the Monetary Policy Committee January 2025,2024-11-21,0,0.3188,,0.3188,0.0,0.3188
2025-03-20,Statement of the Monetary Policy Committee March 2025,2025-01-30,1,0.1687,0.5263,0.0843,0.2631,0.3475
2025-05-29,Statement of the Monetary Policy Committee May 2025,2025-03-20,2,-0.0952,0.6818,-0.0317,0.4546,0.4228
2025-07-31,Statement of the Monetary Policy Committee July 2025,2025-05-29,1,0.3797,0.24,0.1898,0.12,0.3098
2025-09-18,Statement of the Monetary Policy Committee September 2025,2025-07-31,4,0.7742,0.5253,0.1548,0.4203,0.5751
2025-11-20,Statement of the Monetary Policy Committee November 2025,2025-09-18,6,0.8,0.7133,0.1143,0.6114,0.7257
2026-01-29,Statement of the Monetary Policy Committee January 2026,2025-11-20,2,0.5753,0.1684,0.1918,0.1123,0.304
2026-03-26,Statement of the Monetary Policy Committee March 2026,2026-01-29,1,0.8197,0.25,0.4098,0.125,0.5349
2026-05-28,Statement of the Monetary Policy Committee May 2026,2026-03-26,3,0.7042,0.4951,0.1761,0.3713,0.5474
2026-07-23,Statement of the Monetary Policy Committee July 2026,2026-05-28,6,0.8267,0.7697,0.1181,0.6598,0.7779
