meeting_date,title,regex_rate,regex_action,series_before_rate,series_after_rate,series_action,series_change_bps,rate_match,action_match,note
2002-11-28,2002-11-28: Statement of the Monetary Policy Committee,9.5,hold,13.5,13.5,hold,0,False,True,
2003-03-20,2003-03-20: Statement of the Monetary Policy Committee,13.5,hold,13.5,13.5,hold,0,True,True,
2003-06-12,2003-06-12: Statement of the Monetary Policy Committee,,,13.5,12.0,cut,-150,,False,
2003-08-14,2003-08-14: Statement of the Monetary Policy Committee,,,12.0,11.0,cut,-100,,False,
2003-09-10,2003-09-10: Statement of the Monetary Policy Committee,,,11.0,10.0,cut,-100,,False,
2003-10-16,2003-10-16: Statement of the Monetary Policy Committee,,,10.0,8.5,cut,-150,,False,
2003-12-11,2003-12-11: Statement of the Monetary Policy Committee,,,8.5,8.0,cut,-50,,False,
2004-02-26,2004-02-26: Statement of the Monetary Policy Committee,,,8.0,8.0,hold,0,,False,
2004-04-22,2004-04-22: Statement of the Monetary Policy Committee,,,8.0,8.0,hold,0,,False,
2004-06-10,2004-06-10: Statement of the Monetary Policy Committee,,,8.0,8.0,hold,0,,False,
2004-08-12,2004-08-12: Statement of the Monetary Policy Committee,,,8.0,7.5,cut,-50,,False,
2004-10-14,2004-10-14: Statement of the Monetary Policy Committee,,,7.5,7.5,hold,0,,False,
2004-12-09,2004-12-09: Statement of the Monetary Policy Committee,,,7.5,7.5,hold,0,,False,
2005-02-10,2005-02-10: Statement of the Monetary Policy Committee,,,7.5,7.5,hold,0,,False,
2005-04-14,2005-04-14: Statement of the Monetary Policy Committee,,,7.5,7.0,cut,-50,,False,
2005-06-09,2005-06-09: Statement of the Monetary Policy Committee,,,7.0,7.0,hold,0,,False,
2005-08-11,2005-08-11: Statement of the Monetary Policy Committee,,,7.0,7.0,hold,0,,False,
2005-10-13,2005-10-13: Statement of the Monetary Policy Committee,13.5,hold,7.0,7.0,hold,0,False,True,
2005-12-08,2005-12-08: Statement of the Monetary Policy Committee,,,7.0,7.0,hold,0,,False,
2006-02-02,2006-02-02: Statement of the Monetary Policy Committee,,,7.0,7.0,hold,0,,False,
2006-04-13,2006-04-13: Statement of the Monetary Policy Committee,,,7.0,7.0,hold,0,,False,
2006-06-08,2006-06-08: Statement of the Monetary Policy Committee,,,7.5,7.5,hold,0,,False,
2006-08-03,2006-08-03: Statement of the Monetary Policy Committee,,,8.0,8.0,hold,0,,False,
2006-10-12,2006-10-12: Statement of the Monetary Policy Committee,,,8.0,8.5,hike,50,,False,
2006-12-07,2006-12-07: Statement of the Monetary Policy Committee,,,8.5,9.0,hike,50,,False,
2007-02-15,2007-02-15: Statement of the Monetary Policy Committee,,,9.0,9.0,hold,0,,False,
2007-04-12,2007-04-12: Statement of the Monetary Policy Committee,,,9.0,9.0,hold,0,,False,
2007-06-07,2007-06-07: Statement of the Monetary Policy Committee,,,9.0,9.5,hike,50,,False,
2007-08-16,2007-08-16: Statement of the Monetary Policy Committee,,,9.5,10.0,hike,50,,False,
2007-10-11,2007-10-11: Statement of the Monetary Policy Committee,10.5,,10.0,10.5,hike,50,True,False,
2007-12-06,2007-12-06: Statement of the Monetary Policy Committee,11.0,,10.5,11.0,hike,50,True,False,
2008-01-31,2008-01-31: Statement of the Monetary Policy Committee,,,11.0,11.0,hold,0,,False,
2008-04-10,2008-04-10: Statement of the Monetary Policy Committee,,,11.0,11.5,hike,50,,False,
2008-06-12,2008-06-12: Statement of the Monetary Policy Committee,,hike,11.5,12.0,hike,50,,True,
2008-08-14,2008-08-14: Statement of the Monetary Policy Committee,11.0,hold,12.0,12.0,hold,0,False,True,
2008-10-09,2008-10-09: Statement of the Monetary Policy Committee,,,12.0,12.0,hold,0,,False,
2008-12-11,2008-12-11: Statement of the Monetary Policy Committee,11.5,cut,12.0,11.5,cut,-50,True,True,
2009-02-05,2009-02-05: Statement of the Monetary Policy Committee,10.5,cut,11.5,10.5,cut,-100,True,True,
2009-03-24,2009-03-24: Statement of the Monetary Policy Committee,9.5,cut,10.5,9.5,cut,-100,True,True,
2009-04-30,2009-04-30: Statement of the Monetary Policy Committee,8.5,cut,9.5,8.5,cut,-100,True,True,
2009-05-28,2009-05-28: Statement of the Monetary Policy Committee,7.5,cut,8.5,7.5,cut,-100,True,True,
2009-06-25,2009-06-25: Statement of the Monetary Policy Committee,7.5,hold,7.5,7.5,hold,0,True,True,
2009-08-13,2009-08-13: Statement of the Monetary Policy Committee,7.0,cut,7.5,7.0,cut,-50,True,True,
2009-09-22,2009-09-22: Statement of the Monetary Policy Committee,7.0,hold,7.0,7.0,hold,0,True,True,
2009-10-22,2009-10-22: Statement of the Monetary Policy Committee,7.0,hold,7.0,7.0,hold,0,True,True,
2009-11-17,2009-11-17: Statement of the Monetary Policy Committee,7.0,hold,7.0,7.0,hold,0,True,True,
2010-01-26,2010-01-26: Statement of the Monetary Policy Committee,7.0,hold,7.0,7.0,hold,0,True,True,
2010-03-25,2010-03-25: Statement of the Monetary Policy Committee,6.5,cut,7.0,6.5,cut,-50,True,True,
2010-05-13,2010-05-13: Statement of the Monetary Policy Committee,6.5,hold,6.5,6.5,hold,0,True,True,
2010-07-22,2010-07-22: Statement of the Monetary Policy Committee,6.5,hold,6.5,6.5,hold,0,True,True,
2010-09-09,2010-09-09: Statement of the Monetary Policy Committee,6.0,cut,6.5,6.0,cut,-50,True,True,
2010-11-18,2010-11-18: Statement of the Monetary Policy Committee,5.5,cut,6.0,5.5,cut,-50,True,True,
2011-01-20,2011-01-20: Statement of the Monetary Policy Committee,5.5,hold,5.5,5.5,hold,0,True,True,
2011-03-24,2011-03-24: Statement of the Monetary Policy Committee,5.5,hold,5.5,5.5,hold,0,True,True,
2011-05-12,2011-05-12: Statement of the Monetary Policy Committee,5.5,hold,5.5,5.5,hold,0,True,True,
2011-07-21,2011-07-21: Statement of the Monetary Policy Committee,5.5,hold,5.5,5.5,hold,0,True,True,
2011-09-22,2011-09-22: Statement of the Monetary Policy Committee,5.5,hold,5.5,5.5,hold,0,True,True,
2011-11-10,2011-11-10: Statement of the Monetary Policy Committee,5.5,hold,5.5,5.5,hold,0,True,True,
2012-01-19,2012-01-19: Statement of the Monetary Policy Committee,5.5,hold,5.5,5.5,hold,0,True,True,
2012-03-29,2012-03-29: Statement of the Monetary Policy Committee,5.5,hold,5.5,5.5,hold,0,True,True,
2012-05-24,2012-05-24: Statement of the Monetary Policy Committee,5.5,hold,5.5,5.5,hold,0,True,True,
2012-07-19,Statement of the Monetary Policy Committee,5.0,cut,5.5,5.0,cut,-50,True,True,
2012-09-20,STATEMENT OF THE MONETARY POLICY COMMITTEE,5.0,hold,5.0,5.0,hold,0,True,True,
2012-11-22,Statement of the Monetary Policy Committee,5.0,hold,5.0,5.0,hold,0,True,True,
2013-01-24,Statement of the Monetary Policy Committee,5.0,hold,5.0,5.0,hold,0,True,True,
2013-03-20,Statement of the Monetary Policy Committee,5.0,hold,5.0,5.0,hold,0,True,True,
2013-05-23,Statement of the Monetary Policy Committee,5.0,hold,5.0,5.0,hold,0,True,True,
2013-07-18,Statement of the Monetary Policy Committee,5.0,hold,5.0,5.0,hold,0,True,True,
2013-09-19,Statement of the Monetary Policy Committee,5.0,hold,5.0,5.0,hold,0,True,True,
2013-11-21,Statement of the Monetary Policy Committee,5.0,hold,5.0,5.0,hold,0,True,True,
2014-01-29,Statement of the Monetary Policy Committee ,5.5,hike,5.0,5.5,hike,50,True,True,
2014-03-27,Statement of the Monetary Policy Committee,5.5,hold,5.5,5.5,hold,0,True,True,
2014-05-22,Statement of the Monetary Policy Committee,5.5,hold,5.5,5.5,hold,0,True,True,
2014-07-17,Statement of the Monetary Policy Committee,5.75,hike,5.5,5.75,hike,25,True,True,
2014-09-18,Statement of the Monetary Policy Committee,5.75,hold,5.75,5.75,hold,0,True,True,
2014-11-20,Statement of the Monetary Policy Committee,5.75,hold,5.75,5.75,hold,0,True,True,
2015-01-29,Statement of the Monetary Policy Committee,5.75,hold,5.75,5.75,hold,0,True,True,
2015-03-26,Statement of the Monetary Policy Committee,5.75,hold,5.75,5.75,hold,0,True,True,
2015-05-21,Statement of the Monetary Policy Committee,5.75,hold,5.75,5.75,hold,0,True,True,
2015-07-23,Statement of the Monetary Policy Committee,,hike,5.75,6.0,hike,25,,True,
2015-09-23,Statement of the Monetary Policy Committee,5.75,hold,6.0,6.0,hold,0,False,True,
2015-11-19,Statement of the Monetary Policy Committee,6.25,hike,6.0,6.25,hike,25,True,True,
2016-01-28,Statement of the Monetary Policy Committee,6.75,hike,6.25,6.75,hike,50,True,True,
2016-03-17,Statement of the Monetary Policy Committee,7.0,hike,6.75,7.0,hike,25,True,True,
2016-05-19,Statement of the Monetary Policy Committee,7.0,hold,7.0,7.0,hold,0,True,True,
2016-07-21,Statement of the Monetary Policy Committee,7.0,hold,7.0,7.0,hold,0,True,True,
2016-09-22,Statement of the Monetary Policy Committee,7.0,hold,7.0,7.0,hold,0,True,True,
2016-11-24,Statement of the Monetary Policy Committee,7.0,hold,7.0,7.0,hold,0,True,True,
2017-01-24,Statement of the Monetary Policy Committee,7.0,hold,7.0,7.0,hold,0,True,True,
2017-03-30,Statement of the Monetary Policy Committee,7.0,hold,7.0,7.0,hold,0,True,True,
2017-05-25,Statement of the Monetary Policy Committee,7.0,hold,7.0,7.0,hold,0,True,True,
2017-07-20,Statement of the Monetary Policy Committee,,cut,7.0,6.75,cut,-25,,True,
2017-09-21,Statement of the Monetary Policy Committee,6.75,hold,6.75,6.75,hold,0,True,True,
2017-11-23,Statement of the Monetary Policy Committee,6.75,hold,6.75,6.75,hold,0,True,True,
2018-01-18,Statement of the Monetary Policy Committee,6.75,hold,6.75,6.75,hold,0,True,True,
2018-03-28,Statement of the Monetary Policy Committee,6.5,cut,6.75,6.5,cut,-25,True,True,
2018-05-24,Statement of the Monetary Policy Committee,6.5,hold,6.5,6.5,hold,0,True,True,
2018-07-19,Statement of the Monetary Policy Committee,6.5,hold,6.5,6.5,hold,0,True,True,
2018-09-20,Statement of the Monetary Policy Committee,6.5,hold,6.5,6.5,hold,0,True,True,
2018-11-22,Statement of the Monetary Policy Committee ,6.75,hike,6.5,6.75,hike,25,True,True,
2019-01-17,Statement of the Monetary Policy Committee ,6.75,hold,6.75,6.75,hold,0,True,True,
2019-03-28,Statement of the Monetary Policy Committee ,6.75,hold,6.75,6.75,hold,0,True,True,
2019-05-23,Statement of the Monetary Policy Committee ,6.75,hold,6.75,6.75,hold,0,True,True,
2019-07-18,Statement of the Monetary Policy Committee ,6.5,cut,6.75,6.5,cut,-25,True,True,
2019-09-19,Statement of the Monetary Policy Committee ,6.5,hold,6.5,6.5,hold,0,True,True,
2019-11-21,Statement of the Monetary Policy Committee ,6.5,hold,6.5,6.5,hold,0,True,True,
2020-01-16,Statement of the Monetary Policy Committee,,cut,6.5,6.25,cut,-25,,True,
2020-03-19,Statement of the Monetary Policy Committee,,,6.25,5.25,cut,-100,,False,
2020-04-14,Statement of the Monetary Policy Committee 14 April 2020,,,5.25,4.25,cut,-100,,False,
2020-05-21,Statement of the Monetary Policy Committee,,,4.25,3.75,cut,-50,,False,
2020-07-23,Statement of the Monetary Policy Committee,,,3.75,3.5,cut,-25,,False,
2020-09-17,Statement of the Monetary Policy Committee,,,3.5,3.5,hold,0,,False,
2020-11-19,Statement of the Monetary Policy Committee,,,3.5,3.5,hold,0,,False,
2021-01-21,Statement of the Monetary Policy Committee,,,3.5,3.5,hold,0,,False,
2021-03-25,Statement of the Monetary Policy Committee March 2021,,,3.5,3.5,hold,0,,False,
2021-05-20,Statement of the Monetary Policy Committee May 2021,,,3.5,3.5,hold,0,,False,
2021-07-22,Statement of the Monetary Policy Committee July 2021,6.75,hold,3.5,3.5,hold,0,False,True,
2021-09-23,Statement of the Monetary Policy Committee September 2021,6.75,hold,3.5,3.5,hold,0,False,True,
2021-11-18,Statement of the Monetary Policy Committee November 2021,3.75,hike,3.5,3.75,hike,25,True,True,
2022-01-27,Statement of the Monetary Policy Committee January 2022,4.0,hike,3.75,4.0,hike,25,True,True,
2022-03-24,Statement of the Monetary Policy Committee March 2022,4.25,hike,4.0,4.25,hike,25,True,True,
2022-05-19,Statement of the Monetary Policy Committee May 2022,4.75,hike,4.25,4.75,hike,50,True,True,
2022-07-21,Statement of the Monetary Policy Committee July 2022,5.5,hike,4.75,5.5,hike,75,True,True,
2022-09-22,Statement of the Monetary Policy Committee September 2022,6.25,hike,5.5,6.25,hike,75,True,True,
2022-11-24,Statement of the Monetary Policy Committee November 2022,7.0,hike,6.25,7.0,hike,75,True,True,
2023-01-26,Statement of the Monetary Policy Committee January 2023,7.25,hike,7.0,7.25,hike,25,True,True,
2023-03-30,Statement of the Monetary Policy Committee March 2023,7.75,hike,7.25,7.75,hike,50,True,True,
2023-05-25,Statement of the Monetary Policy Committee May 2023,8.25,hike,7.75,8.25,hike,50,True,True,
2023-07-20,Statement of the Monetary Policy Committee July 2023,8.25,hold,8.25,8.25,hold,0,True,True,
2023-09-21,Statement of the Monetary Policy Committee September 2023,8.25,hold,8.25,8.25,hold,0,True,True,
2023-11-23,Statement of the Monetary Policy Committee November 2023,8.25,hold,8.25,8.25,hold,0,True,True,
2024-01-25,Statement of the Monetary Policy Committee January 2024,8.25,hold,8.25,8.25,hold,0,True,True,
2024-03-27,Statement of the Monetary Policy Committee March 2024,,,8.25,8.25,hold,0,,False,
2024-05-30,Statement of the Monetary Policy Committee May 2024,8.25,hold,8.25,8.25,hold,0,True,True,
2024-07-18,Statement of the Monetary Policy Committee July 2024,8.25,hold,8.25,8.25,hold,0,True,True,
2024-09-19,Statement of the Monetary Policy Committee September 2024,8.0,cut,8.25,8.0,cut,-25,True,True,
2024-11-21,Statement of the Monetary Policy Committee November 2024,7.75,cut,8.0,7.75,cut,-25,True,True,
2025-01-30,Statement of the Monetary Policy Committee January 2025,7.5,cut,7.75,7.5,cut,-25,True,True,
2025-03-20,Statement of the Monetary Policy Committee March 2025,7.5,hold,7.5,7.5,hold,0,True,True,
2025-05-29,Statement of the Monetary Policy Committee May 2025,7.25,cut,7.5,7.25,cut,-25,True,True,
2025-07-31,Statement of the Monetary Policy Committee July 2025,7.0,cut,7.25,7.0,cut,-25,True,True,
2025-09-18,Statement of the Monetary Policy Committee September 2025,7.0,hold,7.0,7.0,hold,0,True,True,
2025-11-20,Statement of the Monetary Policy Committee November 2025,6.75,,7.0,6.75,cut,-25,True,False,
2026-01-29,Statement of the Monetary Policy Committee January 2026,6.75,hold,6.75,6.75,hold,0,True,True,
2026-03-26,Statement of the Monetary Policy Committee March 2026,6.75,hold,6.75,6.75,hold,0,True,True,
2026-05-28,Statement of the Monetary Policy Committee May 2026,,,6.75,7.0,hike,25,,False,
2026-07-23,Statement of the Monetary Policy Committee July 2026,,,7.0,7.0,hold,0,,False,
