meeting_date,title,window_start,n_speeches_in_window,statement_index,avg_speech_index,contrib_statement,contrib_speech,combined_index
2007-12-06,2007-12-06: Statement of the Monetary Policy Committee,2007-10-11,1,1.8,1.2,0.9,0.6,1.5
2008-01-31,2008-01-31: Statement of the Monetary Policy Committee,2007-12-06,0,0.3,,0.3,0.0,0.3
2008-04-10,2008-04-10: Statement of the Monetary Policy Committee,2008-01-31,1,1.8,-0.5,0.9,-0.25,0.65
2008-06-12,2008-06-12: Statement of the Monetary Policy Committee,2008-04-10,5,1.7,0.96,0.2833,0.8,1.0833
2008-08-14,2008-08-14: Statement of the Monetary Policy Committee,2008-06-12,1,0.7,1.2,0.35,0.6,0.95
2008-10-09,2008-10-09: Statement of the Monetary Policy Committee,2008-08-14,2,0.3,-0.5,0.1,-0.3333,-0.2333
2008-12-11,2008-12-11: Statement of the Monetary Policy Committee,2008-10-09,1,-1.5,-1.5,-0.75,-0.75,-1.5
2009-02-05,2009-02-05: Statement of the Monetary Policy Committee,2008-12-11,0,-1.8,,-1.8,0.0,-1.8
2009-03-24,2009-03-24: Statement of the Monetary Policy Committee,2009-02-05,1,-1.8,-0.5,-0.9,-0.25,-1.15
2009-04-30,2009-04-30: Statement of the Monetary Policy Committee,2009-03-24,1,-1.8,-1.2,-0.9,-0.6,-1.5
2009-05-28,2009-05-28: Statement of the Monetary Policy Committee,2009-04-30,2,-1.8,-0.4,-0.6,-0.2667,-0.8667
2009-06-25,2009-06-25: Statement of the Monetary Policy Committee,2009-05-28,0,-0.7,,-0.7,0.0,-0.7
2009-08-13,2009-08-13: Statement of the Monetary Policy Committee,2009-06-25,0,-1.6,,-1.6,0.0,-1.6
2009-09-22,2009-09-22: Statement of the Monetary Policy Committee,2009-08-13,0,-0.3,,-0.3,0.0,-0.3
2009-10-22,2009-10-22: Statement of the Monetary Policy Committee,2009-09-22,1,-0.3,-0.8,-0.15,-0.4,-0.55
2009-11-17,2009-11-17: Statement of the Monetary Policy Committee,2009-10-22,1,-0.7,-0.5,-0.35,-0.25,-0.6
2010-01-26,2010-01-26: Statement of the Monetary Policy Committee,2009-11-17,1,0.0,0.2,0.0,0.1,0.1
2010-03-25,2010-03-25: Statement of the Monetary Policy Committee,2010-01-26,2,-1.2,-0.55,-0.4,-0.3667,-0.7667
2010-05-13,2010-05-13: Statement of the Monetary Policy Committee,2010-03-25,3,0.0,-0.1,0.0,-0.075,-0.075
2010-07-22,2010-07-22: Statement of the Monetary Policy Committee,2010-05-13,1,0.1,0.2,0.05,0.1,0.15
2010-09-09,2010-09-09: Statement of the Monetary Policy Committee,2010-07-22,0,-1.2,,-1.2,0.0,-1.2
2010-11-18,2010-11-18: Statement of the Monetary Policy Committee,2010-09-09,3,-1.2,0.1333,-0.3,0.1,-0.2
2011-01-20,2011-01-20: Statement of the Monetary Policy Committee,2010-11-18,2,0.2,-0.1,0.0667,-0.0667,0.0
2011-03-24,2011-03-24: Statement of the Monetary Policy Committee,2011-01-20,2,0.3,-0.05,0.1,-0.0333,0.0667
2011-05-12,2011-05-12: Statement of the Monetary Policy Committee,2011-03-24,2,0.7,0.4,0.2333,0.2667,0.5
2011-07-21,2011-07-21: Statement of the Monetary Policy Committee,2011-05-12,7,0.3,0.2571,0.0375,0.225,0.2625
2011-09-22,2011-09-22: Statement of the Monetary Policy Committee,2011-07-21,2,-0.5,-0.5,-0.1667,-0.3333,-0.5
2011-11-10,2011-11-10: Statement of the Monetary Policy Committee,2011-09-22,1,0.3,0.3,0.15,0.15,0.3
2012-01-19,2012-01-19: Statement of the Monetary Policy Committee,2011-11-10,1,-0.3,0.3,-0.15,0.15,0.0
2012-03-29,2012-03-29: Statement of the Monetary Policy Committee,2012-01-19,2,-0.3,0.0,-0.1,0.0,-0.1
2012-05-24,2012-05-24: Statement of the Monetary Policy Committee,2012-03-29,2,-0.8,0.15,-0.2667,0.1,-0.1667
2012-07-19,Statement of the Monetary Policy Committee,2012-05-24,4,-1.8,0.125,-0.36,0.1,-0.26
2012-09-20,STATEMENT OF THE MONETARY POLICY COMMITTEE,2012-07-19,4,-0.7,-0.9,-0.14,-0.72,-0.86
2012-11-22,Statement of the Monetary Policy Committee,2012-09-20,3,-0.8,-0.0333,-0.2,-0.025,-0.225
2013-01-24,Statement of the Monetary Policy Committee,2012-11-22,1,0.3,0.2,0.15,0.1,0.25
2013-03-20,Statement of the Monetary Policy Committee,2013-01-24,1,0.2,-0.8,0.1,-0.4,-0.3
2013-05-23,Statement of the Monetary Policy Committee,2013-03-20,0,0.3,,0.3,0.0,0.3
2013-07-18,Statement of the Monetary Policy Committee,2013-05-23,2,0.2,0.2,0.0667,0.1333,0.2
2013-09-19,Statement of the Monetary Policy Committee,2013-07-18,4,0.3,-0.025,0.06,-0.02,0.04
2013-11-21,Statement of the Monetary Policy Committee,2013-09-19,4,0.3,0.225,0.06,0.18,0.24
2014-01-29,Statement of the Monetary Policy Committee ,2013-11-21,2,0.8,0.2,0.2667,0.1333,0.4
2014-03-27,Statement of the Monetary Policy Committee,2014-01-29,2,0.3,0.25,0.1,0.1667,0.2667
2014-05-22,Statement of the Monetary Policy Committee,2014-03-27,1,0.3,0.3,0.15,0.15,0.3
2014-07-17,Statement of the Monetary Policy Committee,2014-05-22,3,0.6,0.7667,0.15,0.575,0.725
2014-09-18,Statement of the Monetary Policy Committee,2014-07-17,2,0.3,0.5,0.1,0.3333,0.4333
2014-11-20,Statement of the Monetary Policy Committee,2014-09-18,4,-0.5,0.625,-0.1,0.5,0.4
2015-01-29,Statement of the Monetary Policy Committee,2014-11-20,1,0.2,0.3,0.1,0.15,0.25
2015-03-26,Statement of the Monetary Policy Committee,2015-01-29,3,0.3,0.0333,0.075,0.025,0.1
2015-05-21,Statement of the Monetary Policy Committee,2015-03-26,1,0.6,0.7,0.3,0.35,0.65
2015-07-23,Statement of the Monetary Policy Committee,2015-05-21,3,1.3,0.4333,0.325,0.325,0.65
2015-09-23,Statement of the Monetary Policy Committee,2015-07-23,2,0.3,0.5,0.1,0.3333,0.4333
2015-11-19,Statement of the Monetary Policy Committee,2015-09-23,7,0.7,0.4,0.0875,0.35,0.4375
2016-01-28,Statement of the Monetary Policy Committee,2015-11-19,2,1.5,0.75,0.5,0.5,1.0
2016-03-17,Statement of the Monetary Policy Committee,2016-01-28,1,1.2,1.3,0.6,0.65,1.25
2016-05-19,Statement of the Monetary Policy Committee,2016-03-17,1,0.3,0.8,0.15,0.4,0.55
2016-07-21,Statement of the Monetary Policy Committee,2016-05-19,4,-0.7,0.75,-0.14,0.6,0.46
2016-09-22,Statement of the Monetary Policy Committee,2016-07-21,6,0.3,0.4667,0.0429,0.4,0.4429
2016-11-24,Statement of the Monetary Policy Committee,2016-09-22,3,0.3,0.3,0.075,0.225,0.3
2017-01-24,Statement of the Monetary Policy Committee,2016-11-24,1,0.3,0.8,0.15,0.4,0.55
2017-03-30,Statement of the Monetary Policy Committee,2017-01-24,1,0.3,0.1,0.15,0.05,0.2
2017-05-25,Statement of the Monetary Policy Committee,2017-03-30,2,-0.3,0.0,-0.1,0.0,-0.1
2017-07-20,Statement of the Monetary Policy Committee,2017-05-25,2,-0.7,0.3,-0.2333,0.2,-0.0333
2017-09-21,Statement of the Monetary Policy Committee,2017-07-20,3,0.0,0.0667,0.0,0.05,0.05
2017-11-23,Statement of the Monetary Policy Committee,2017-09-21,3,0.3,0.1,0.075,0.075,0.15
2018-01-18,Statement of the Monetary Policy Committee,2017-11-23,1,0.3,0.2,0.15,0.1,0.25
2018-03-28,Statement of the Monetary Policy Committee,2018-01-18,0,-1.2,,-1.2,0.0,-1.2
2018-05-24,Statement of the Monetary Policy Committee,2018-03-28,1,0.3,-0.5,0.15,-0.25,-0.1
2018-07-19,Statement of the Monetary Policy Committee,2018-05-24,0,0.6,,0.6,0.0,0.6
2018-09-20,Statement of the Monetary Policy Committee,2018-07-19,2,0.6,0.05,0.2,0.0333,0.2333
2018-11-22,Statement of the Monetary Policy Committee ,2018-09-20,2,0.6,0.75,0.2,0.5,0.7
2019-01-17,Statement of the Monetary Policy Committee ,2018-11-22,0,-0.5,,-0.5,0.0,-0.5
2019-03-28,Statement of the Monetary Policy Committee ,2019-01-17,2,-0.5,0.2,-0.1667,0.1333,-0.0333
2019-05-23,Statement of the Monetary Policy Committee ,2019-03-28,2,-0.7,0.1,-0.2333,0.0667,-0.1667
2019-07-18,Statement of the Monetary Policy Committee ,2019-05-23,3,-1.2,-0.3667,-0.3,-0.275,-0.575
2019-09-19,Statement of the Monetary Policy Committee ,2019-07-18,2,-0.5,-0.2,-0.1667,-0.1333,-0.3
2019-11-21,Statement of the Monetary Policy Committee ,2019-09-19,0,-0.7,,-0.7,0.0,-0.7
2020-01-16,Statement of the Monetary Policy Committee,2019-11-21,0,-1.2,,-1.2,0.0,-1.2
2020-03-19,Statement of the Monetary Policy Committee,2020-01-16,1,-1.8,0.1,-0.9,0.05,-0.85
2020-04-14,Statement of the Monetary Policy Committee 14 April 2020,2020-03-19,0,-1.8,,-1.8,0.0,-1.8
2020-05-21,Statement of the Monetary Policy Committee,2020-04-14,0,-1.8,,-1.8,0.0,-1.8
2020-07-23,Statement of the Monetary Policy Committee,2020-05-21,1,-1.3,-0.8,-0.65,-0.4,-1.05
2020-09-17,Statement of the Monetary Policy Committee,2020-07-23,2,-0.5,-0.9,-0.1667,-0.6,-0.7667
2020-11-19,Statement of the Monetary Policy Committee,2020-09-17,2,-0.3,-1.2,-0.1,-0.8,-0.9
2021-01-21,Statement of the Monetary Policy Committee,2020-11-19,1,-0.3,-0.5,-0.15,-0.25,-0.4
2021-03-25,Statement of the Monetary Policy Committee March 2021,2021-01-21,0,0.3,,0.3,0.0,0.3
2021-05-20,Statement of the Monetary Policy Committee May 2021,2021-03-25,0,0.3,,0.3,0.0,0.3
2021-07-22,Statement of the Monetary Policy Committee July 2021,2021-05-20,1,-0.3,-0.5,-0.15,-0.25,-0.4
2021-09-23,Statement of the Monetary Policy Committee September 2021,2021-07-22,2,0.3,-0.15,0.1,-0.1,0.0
2021-11-18,Statement of the Monetary Policy Committee November 2021,2021-09-23,0,0.6,,0.6,0.0,0.6
2022-01-27,Statement of the Monetary Policy Committee January 2022,2021-11-18,0,0.6,,0.6,0.0,0.6
2022-03-24,Statement of the Monetary Policy Committee March 2022,2022-01-27,0,1.1,,1.1,0.0,1.1
2022-05-19,Statement of the Monetary Policy Committee May 2022,2022-03-24,0,1.5,,1.5,0.0,1.5
2022-07-21,Statement of the Monetary Policy Committee July 2022,2022-05-19,0,1.6,,1.6,0.0,1.6
2022-09-22,Statement of the Monetary Policy Committee September 2022,2022-07-21,4,1.7,1.0,0.34,0.8,1.14
2022-11-24,Statement of the Monetary Policy Committee November 2022,2022-09-22,3,1.7,1.4,0.425,1.05,1.475
2023-01-26,Statement of the Monetary Policy Committee January 2023,2022-11-24,0,0.8,,0.8,0.0,0.8
2023-03-30,Statement of the Monetary Policy Committee March 2023,2023-01-26,3,1.2,0.5333,0.3,0.4,0.7
2023-05-25,Statement of the Monetary Policy Committee May 2023,2023-03-30,3,1.3,1.0333,0.325,0.775,1.1
2023-07-20,Statement of the Monetary Policy Committee July 2023,2023-05-25,0,0.7,,0.7,0.0,0.7
2023-09-21,Statement of the Monetary Policy Committee September 2023,2023-07-20,2,0.8,1.2,0.2667,0.8,1.0667
2023-11-23,Statement of the Monetary Policy Committee November 2023,2023-09-21,1,0.3,0.3,0.15,0.15,0.3
2024-01-25,Statement of the Monetary Policy Committee January 2024,2023-11-23,1,0.8,1.2,0.4,0.6,1.0
2024-03-27,Statement of the Monetary Policy Committee March 2024,2024-01-25,0,0.8,,0.8,0.0,0.8
2024-05-30,Statement of the Monetary Policy Committee May 2024,2024-03-27,0,0.3,,0.3,0.0,0.3
2024-07-18,Statement of the Monetary Policy Committee July 2024,2024-05-30,0,0.7,,0.7,0.0,0.7
2024-09-19,Statement of the Monetary Policy Committee September 2024,2024-07-18,2,-0.7,0.3,-0.2333,0.2,-0.0333
2024-11-21,Statement of the Monetary Policy Committee November 2024,2024-09-19,1,-0.8,0.3,-0.4,0.15,-0.25
2025-01-30,Statement of the Monetary Policy Committee January 2025,2024-11-21,0,-0.8,,-0.8,0.0,-0.8
2025-03-20,Statement of the Monetary Policy Committee March 2025,2025-01-30,0,0.3,,0.3,0.0,0.3
2025-05-29,Statement of the Monetary Policy Committee May 2025,2025-03-20,0,-1.2,,-1.2,0.0,-1.2
2025-07-31,Statement of the Monetary Policy Committee July 2025,2025-05-29,0,-1.2,,-1.2,0.0,-1.2
2025-09-18,Statement of the Monetary Policy Committee September 2025,2025-07-31,2,0.2,0.05,0.0667,0.0333,0.1
2025-11-20,Statement of the Monetary Policy Committee November 2025,2025-09-18,1,-1.0,1.5,-0.5,0.75,0.25
2026-01-29,Statement of the Monetary Policy Committee January 2026,2025-11-20,0,0.2,,0.2,0.0,0.2
2026-03-26,Statement of the Monetary Policy Committee March 2026,2026-01-29,0,1.2,,1.2,0.0,1.2
2026-05-28,Statement of the Monetary Policy Committee May 2026,2026-03-26,2,1.2,0.45,0.4,0.3,0.7
2026-07-23,Statement of the Monetary Policy Committee July 2026,2026-05-28,3,0.6,0.5,0.15,0.375,0.525
